row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,5,1.639.349,1.681.052,5.0,1639349.0,1681052.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNNVN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNNVN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNNVN"")",6,9.909.074,8.217.767,6.0,9909074.0,8217767.0
"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",7,105.588.516,68.197.574,7.0,105588516.0,68197574.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,49.847.544,56.382.159,,49847544.0,56382159.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,55.740.972,11.815.415,,55740972.0,11815415.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,821.872,156.721,8.0,821872.0,156721.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,318.316.079,262.075.015,,318316079.0,262075015.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,9,324.009.713,266.345.545,9.0,324009713.0,266345545.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,10,(5.693.634),(4.270.530),10.0,-5693634.0,-4270530.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,11,8.779,16.370,11.0,8779.0,16370.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,8.846,16.495,,8846.0,16495.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(67),(125),,-67.0,-125.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,50.344.312,60.988.364,,50344312.0,60988364.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12,50.345.812,60.956.278,12.0,50345812.0,60956278.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,13,42.380,42.380,13.0,42380.0,42380.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,14,(43.880),(10.294),14.0,-43880.0,-10294.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",15,919.457,919.457,15.0,919457.0,919457.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,850.000,850.000,,850000.0,850000.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,69.667,69.667,,69667.0,69667.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(210),(210),,-210.0,-210.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,793.660,754.046,,793660.0,754046.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,16,491.597,464.588,16.0,491597.0,464588.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,1.249.137,1.115.592,,1249137.0,1115592.0
Giá trị hao mòn lũy kế,TÀI SẢN > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,(757.540),(651.004),,-757540.0,-651004.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,17,302.063,289.458,17.0,302063.0,289458.0
