row_label_raw,row_label_full,Khu vực Miền Bắc VND,Khu vực Miền Trung VND,Khu vực Miền Nam VND,Loại trừ VND,Tổng VND,numeric__Khu vực Miền Trung VND,numeric__Khu vực Miền Nam VND,numeric__Loại trừ VND,numeric__Tổng VND
802.872.497.655,802.872.497.655,802.872.497.655,905.506.069.814,7.126.078.544.732,(4.793.851.158.022),4.040.605.954.179,905506069814.0,7126078544732.0,-4793851158022.0,4040605954179.0
549.633.571.879,549.633.571.879,549.633.571.879,655.792.486.109,2.835.179.896.191,-,4.040.605.954.179,655792486109.0,2835179896191.0,,4040605954179.0
253.238.925.776,253.238.925.776,253.238.925.776,249.713.583.705,4.290.898.648.541,(4.793.851.158.022),-,249713583705.0,4290898648541.0,-4793851158022.0,
12.125.057.558,12.125.057.558,12.125.057.558,16.687.861.139,103.498.157.486,-,132.311.076.183,16687861139.0,103498157486.0,,132311076183.0
10.954.209.805,10.954.209.805,10.954.209.805,6.289.922.854,390.249.547.390,(14.861.991.431),392.631.688.618,6289922854.0,390249547390.0,-14861991431.0,392631688618.0
(585.223.396.675),(585.223.396.675),(585.223.396.675),(701.344.448.799),(5.887.209.246.661),4.793.851.158.022,(2.379.925.934.113),-701344448799.0,-5887209246661.0,4793851158022.0,-2379925934113.0
(194.963.763.397),(194.963.763.397),(194.963.763.397),(205.541.724.961),(1.979.420.445.755),-,(2.379.925.934.113),-205541724961.0,-1979420445755.0,,-2379925934113.0
(390.259.633.278),(390.259.633.278),(390.259.633.278),(495.802.723.838),(3.907.788.800.906),4.793.851.158.022,-,-495802723838.0,-3907788800906.0,4793851158022.0,
(1.909.187.694),(1.909.187.694),(1.909.187.694),(3.725.616.969),(39.975.942.044),-,(45.610.746.707),-3725616969.0,-39975942044.0,,-45610746707.0
(96.677.377.506),(96.677.377.506),(96.677.377.506),(98.653.224.242),(1.146.385.439.059),14.861.991.431,(1.326.854.049.376),-98653224242.0,-1146385439059.0,14861991431.0,-1326854049376.0
142.141.803.143,142.141.803.143,142.141.803.143,124.760.563.797,546.255.621.844,-,813.157.988.784,124760563797.0,546255621844.0,,813157988784.0
(22.506.736.672),(22.506.736.672),(22.506.736.672),(17.017.317.974),(289.761.867.806),-,(329.285.922.452),-17017317974.0,-289761867806.0,,-329285922452.0
119.635.066.471,119.635.066.471,119.635.066.471,107.743.245.823,256.493.754.038,-,483.872.066.332,107743245823.0,256493754038.0,,483872066332.0
