row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,numeric__Tên đơn vị_1
1,1,1,Công ty Cổ phần 19/5 Đoan Hùng,
2,2,2,Công ty TNHH Sân xuất Nguyên liệu giấy Việt Nhật Cái Lân,
3,3,3,Công ty Cổ phần Giống Lâm nghiệp Trung ương,
4,4,4,Công ty Cổ phần Cờ Đồ,
5,5,5,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,
6,6,6,Công ty TNHH Sân xuất Nguyên liệu giấy Việt Nhật Vũng Áng,
7,7,7,Công ty TNHH Sân xuất Nguyên liệu giấy Việt Nhật,
8,8,8,Công ty Cổ phần Lâm đặc sân Mây tre xuất khẩu,
9,9,9,Công ty TNHH Việt Thành Thái,
10,10,10,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,
11,11,11,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,
12,12,12,Công ty Cổ phần Kon Hà Nừng,
13,13,13,Công ty Cổ phần Lâm nghiệp 19,
14,14,14,Công ty Cổ phần Sân xuất và Xuất nhập khẩu Lâm sân Naforimex Hà Nội,
15,15,15,Công ty Cổ phần Thương mai Lâm sân Hà Nội,
16,16,16,Công ty Cổ phần Xuất nhập khẩu Lâm nông sân Sài Gòn,
17,17,17,Công ty TNHH Yamaha Motor Việt Nam,
18,18,18,Công ty Cổ phần Thương mai Công nghiệp và Chế biến gỗ,
19,19,19,Công ty TNHH Nguyên liệu Giấy Quy Nhơn,
20,20,20,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,
21,21,21,Công ty TNHH Năng lượng tái tạo Uni-Vinafor Châu Đức,
