row_label_raw,row_label_full,Năm trước,Miền Bắc,Miền Nam,Loại trừ,Tổng Cộng,numeric__Miền Bắc,numeric__Miền Nam,numeric__Loại trừ,numeric__Tổng Cộng
Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,3.938.696.373,1.913.270.848.055,-,1.917.209.544.428,3938696373.0,1913270848055.0,,1917209544428.0
Doanh thu thuần bán hàng cho các bộ phận khác,Doanh thu thuần bán hàng cho các bộ phận khác,Doanh thu thuần bán hàng cho các bộ phận khác,14.628.114.754,87.961.872,(14.716.076.626),-,14628114754.0,87961872.0,-14716076626.0,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,18.566.811.127,1.913.358.809.927,(14.716.076.626),1.917.209.544.428,18566811127.0,1913358809927.0,-14716076626.0,1917209544428.0
Giá vốn,Giá vốn,Giá vốn,11.511.790.867,1.455.975.564.410,(9.251.936.988),1.458.235.418.289,11511790867.0,1455975564410.0,-9251936988.0,1458235418289.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,7.055.020.260,457.383.245.517,(5.464.139.638),458.974.126.139,7055020260.0,457383245517.0,-5464139638.0,458974126139.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",1.750.335.639,(11.647.830.371),-,(9.897.494.732),1750335639.0,-11647830371.0,,-9897494732.0
Chi phí bán hàng và chi phí quản lý doanh nghiệp,Chi phí bán hàng và chi phí quản lý doanh nghiệp,Chi phí bán hàng và chi phí quản lý doanh nghiệp,47.497.173.902,392.549.740.994,11.648.916.941,451.695.831.837,47497173902.0,392549740994.0,11648916941.0,451695831837.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,2.623.400.077,3.003.193.208,(1.356.150.735),4.270.442.550,2623400077.0,3003193208.0,-1356150735.0,4270442550.0
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,119.029.615.677,132.211.079.462,(31.237.749.958),220.002.945.181,119029615677.0,132211079462.0,-31237749958.0,220002945181.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,55.344.585.806,84.509.058.282,(33.974.414.209),105.879.229.879,55344585806.0,84509058282.0,-33974414209.0,105879229879.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,27.616.611.945,103.890.888.540,(15.732.543.063),115.774.957.422,27616611945.0,103890888540.0,-15732543063.0,115774957422.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,6.223.633.110,38.050.926.688,-,44.274.559.798,6223633110.0,38050926688.0,,44274559798.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,-,(651.337.577),547.332.850,(104.004.727),,-651337577.0,547332850.0,-104004727.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,21.392.978.835,66.491.299.429,(16.279.875.913),71.604.402.351,21392978835.0,66491299429.0,-16279875913.0,71604402351.0
