row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,19.255.131.513,-,-,-,19255131513.0,,,
Tạm ứng thành viên Ban lãnh đạo (*),Tạm ứng thành viên Ban lãnh đạo (*),Tạm ứng thành viên Ban lãnh đạo (*),19.255.131.513,-,-,-,19255131513.0,,,
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,27.016.044.113,-,3.051.709.736,-,27016044113.0,,3051709736.0,
Tiền lãi cho vay,Tiền lãi cho vay,Tiền lãi cho vay,1.841.945.205,-,2.058.351.657,-,1841945205.0,,2058351657.0,
Tạm ứng,Tạm ứng,Tạm ứng,1.559.995.426,-,390.897.070,-,1559995426.0,,390897070.0,
Đặt cọc thuê trại,Đặt cọc thuê trại,Đặt cọc thuê trại,-,-,240.000.000,-,,,240000000.0,
Đặt cọc khác,Đặt cọc khác,Đặt cọc khác,2.600.000,-,12.300.000,-,2600000.0,,12300000.0,
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",26.760.000,,,,26760000.0,,,
Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Chăn Nuôi Nam An Khánh,Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Chăn Nuôi Nam An Khánh,Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Chăn Nuôi Nam An Khánh,4.000.000.000,-,-,-,4000000000.0,,,
Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Đầu Tư Trang Trại Xanh 1,Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Đầu Tư Trang Trại Xanh 1,Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Đầu Tư Trang Trại Xanh 1,6.000.000.000,-,-,-,6000000000.0,,,
Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Đầu Tư Trang Trại Xanh 2,Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Đầu Tư Trang Trại Xanh 2,Đặt cọc tiền chuyển nhượng vốn góp của Ông Phạm Hùng Thắng tại Công ty TNHH Đầu Tư Trang Trại Xanh 2,4.500.000.000,-,-,-,4500000000.0,,,
"Phải thu GENESUS, INC do heo chết Nhập khẩu","Phải thu GENESUS, INC do heo chết Nhập khẩu","Phải thu GENESUS, INC do heo chết Nhập khẩu",5.601.293.725,-,-,-,5601293725.0,,,
Phải thu AG WORLD INTERNATIONAL CORP do heo chết nhập khẩu,Phải thu AG WORLD INTERNATIONAL CORP do heo chết nhập khẩu,Phải thu AG WORLD INTERNATIONAL CORP do heo chết nhập khẩu,2.922.349.559,-,-,-,2922349559.0,,,
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,561.100.198,-,350.161.009,-,561100198.0,,350161009.0,
Cộng,Cộng,Cộng,46.271.175.626,-,3.051.709.736,-,46271175626.0,,3051709736.0,
