row_label_raw,row_label_full,col_0,Lĩnh vực thương mại,Lĩnh vực chăn nuôi và dịch vụ trại heo,Cộng,numeric__Lĩnh vực thương mại,numeric__Lĩnh vực chăn nuôi và dịch vụ trại heo,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,4.346.493.488.066,587.101.279.223,4.933.594.767.289,4346493488066.0,587101279223.0,4933594767289.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,-,-,-,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,312.237.828.551,,,312237828551.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,5.245.832.595.840,,,5245832595840.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,4.559.023.206.507,107.696.451.594,4.666.719.658.101,4559023206507.0,107696451594.0,4666719658101.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,-,-,-,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,13.524.518.870,,,13524518870.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,4.680.244.176.971,,,4680244176971.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,5.768.162.969.376,365.607.604.218,6.133.770.573.594,5768162969376.0,365607604218.0,6133770573594.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,-,-,-,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,203.959.783.591,,,203959783591.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,6.337.730.357.185,,,6337730357185.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,4.266.819.197.740,29.575.231.679,4.296.394.429.419,4266819197740.0,29575231679.0,4296394429419.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,-,-,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,1.921.574.307.103,,,1921574307103.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,6.217.968.736.522,,,6217968736522.0
