row_label_raw,row_label_full,"TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3",Mẫu số B09-DN/HNBan hành theo thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),"numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3",numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)
,,,Sản xuất Công nghiệp,Xây lắp,Các lĩnh vực khác,Cộng,,,,
Năm nay,Năm nay,Năm nay,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,1.199.237.101.785,3.159.249.801.243,1.172.941.472.329,5.531.428.375.357,1199237101785.0,3159249801243.0,1172941472329.0,5531428375357.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,1.199.237.101.785,3.159.249.801.243,1.172.941.472.329,5.531.428.375.357,1199237101785.0,3159249801243.0,1172941472329.0,5531428375357.0
,,,(570.343.789.381),(2.969.633.507.231),(695.096.530.725),(4.235.073.827.337),-570343789381.0,-2969633507231.0,-695096530725.0,-4235073827337.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,628.893.312.404,189.616.294.012,477.844.941.604,1.296.354.548.020,628893312404.0,189616294012.0,477844941604.0,1296354548020.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(446.444.535.675),,,,-446444535675.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,849.910.012.345,,,,849910012345.0
Doanh thu hoạt động tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,468.430.348.096,,,,468430348096.0
Chi phí tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(709.387.970.116),,,,-709387970116.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,398.257.465.388,,,,398257465388.0
Thu nhập khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,22.769.797.865,,,,22769797865.0
Chi phí khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,(38.265.130.153),,,,-38265130153.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(129.108.737.045),,,,-129108737045.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,(6.885.130.345),,,,-6885130345.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,855.720.656.035,,,,855720656035.0
Tài sản không phân bổ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tài sản không phân bổ,Tài sản không phân bổ,,,,22.258.539.466.780,,,,22258539466780.0
Nợ phải trả không phân bổ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,13.145.317.451.774,,,,13145317451774.0
