row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Quá hạn,Không chịu lãi suất,Dưới 1 tháng,Từ 1 tháng đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Đơn vị: Triệu VND > Trên 5 năm,Đơn vị: Triệu VND > Tổng cộng,numeric__Quá hạn,numeric__Không chịu lãi suất,numeric__Dưới 1 tháng,numeric__Từ 1 tháng đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Đơn vị: Triệu VND > Trên 5 năm,numeric__Đơn vị: Triệu VND > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,8.460.892,-,-,-,-,-,-,8.460.892,,8460892.0,,,,,,,8460892.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,13.657.531,-,-,-,-,-,-,13.657.531,,13657531.0,,,,,,,13657531.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,50.000,54.423.030,30.601.329,10.103,830.051,106.800,-,86.021.313,,50000.0,54423030.0,30601329.0,10103.0,830051.0,106800.0,,86021313.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,1.320.941,-,-,-,-,-,-,1.320.941,,1320941.0,,,,,,,1320941.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,100.072,-,-,-,-,-,-,100.072,,100072.0,,,,,,,100072.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),3.594.244,-,9.336.106,389.891.958,8.766.136,1.502.760,261.215,353.825,413.706.244,3594244.0,,9336106.0,389891958.0,8766136.0,1502760.0,261215.0,353825.0,413706244.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,12.661,-,-,-,12.358.866,10.100.513,53.062.754,75.534.794,,12661.0,,,,12358866.0,10100513.0,53062754.0,75534794.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,303.387,-,-,-,-,-,-,303.387,,303387.0,,,,,,,303387.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.981.376,-,-,-,-,-,-,3.981.376,,3981376.0,,,,,,,3981376.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,177.005,-,-,-,-,-,-,177.005,,177005.0,,,,,,,177005.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),176.189,9.870.575,6.956,-,-,-,-,-,10.053.720,176189.0,9870575.0,6956.0,,,,,,10053720.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.770.433,37.934.440,63.766.092,420.493.287,8.776.239,14.691.677,10.468.528,53.416.579,613.317.275,3770433.0,37934440.0,63766092.0,420493287.0,8776239.0,14691677.0,10468528.0,53416579.0,613317275.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,1.666,504.210,-,-,-,-,505.876,,,1666.0,504210.0,,,,,505876.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,33.306.540,31.683.557,2.850.743,-,-,-,67.840.840,,,33306540.0,31683557.0,2850743.0,,,,67840840.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,98.056.573,95.402.728,121.229.753,42.736.261,56.527.474,-,413.952.789,,,98056573.0,95402728.0,121229753.0,42736261.0,56527474.0,,413952789.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,42.945,-,-,-,17.243,60.188,,,,42945.0,,,,17243.0,60188.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,12.049.965,29.844.094,2.410.308,44.304.367,,,,,,12049965.0,29844094.0,2410308.0,44304367.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,21.974.498,-,-,48.500,703.464,46.000,-,22.772.462,,21974498.0,,,48500.0,703464.0,46000.0,,22772462.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,21.974.498,131.364.779,127.633.440,124.128.996,55.489.690,86.417.568,2.427.551,549.436.522,,21974498.0,131364779.0,127633440.0,124128996.0,55489690.0,86417568.0,2427551.0,549436522.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,3.770.433,15.959.942,(67.598.687),292.859.847,(115.352.757),(40.798.013),(75.949.040),50.989.028,63.880.753,3770433.0,15959942.0,-67598687.0,292859847.0,-115352757.0,-40798013.0,-75949040.0,50989028.0,63880753.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,-,-,-,-,2.160,-,-,2.160,,,,,,2160.0,,,2160.0
