row_label_raw,row_label_full,Năm trước,Thương mại & Dịch vụ,Xây dựng,Bất động sản,Cộng VND,numeric__Thương mại & Dịch vụ,numeric__Xây dựng,numeric__Bất động sản,numeric__Cộng VND
Kết quả KD bộ phận,Kết quả KD bộ phận,Kết quả KD bộ phận,628.344.294,7.312.220.187,182.912.856.379,190.853.420.860,628344294.0,7312220187.0,182912856379.0,190853420860.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,32.883.753.060,,,,32883753060.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(37.712.312.492),,,,-37712312492.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,(7.987.650.802),,,,-7987650802.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,(51.792.360.562),,,,-51792360562.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,2.428.566.002,,,,2428566002.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(538.285.184),,,,-538285184.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,(27.717.806.702),,,,-27717806702.0
Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,,,,(5.459.240.856),,,,-5459240856.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,105.876.565.036,,,,105876565036.0
