row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2018,Địa chỉ,Số lượng cổ phần,% sở hữu,% quyền biểu quyết,Giá gốc VND,Dự phòng giảm giá giá trị đầu tư VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng cổ phần,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__Giá gốc VND,numeric__Dự phòng giảm giá giá trị đầu tư VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,
▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,,,,,,,
• Công ty Cổ phần Bao bì và Kho bãi Bình Tây,▪ Công ty liên kết > • Công ty Cổ phần Bao bì và Kho bãi Bình Tây,• Công ty Cổ phần Bao bì và Kho bãi Bình Tây,"621 Phạm Văn Chí, Phường 7,Quận 6, Thành phố Hồ Chí Minh",4.385.820,"31,33%","31,33%",50.701.055.914,,(*),,4385820.0,0.31329999999999997,0.31329999999999997,50701055914.0,,
• Công ty Cổ phần Đầu tư Địa ốc Kim Thành,▪ Công ty liên kết > • Công ty Cổ phần Đầu tư Địa ốc Kim Thành,• Công ty Cổ phần Đầu tư Địa ốc Kim Thành,"62 Trần Huy Liệu, Quận Phú Nhuận,Thành phố Hồ Chí Minh",1.180.000,"60,00%","60,00%",11.800.000.000,,(*),,1180000.0,0.6,0.6,11800000000.0,,
• Công ty Cổ phần Khu Công nghiệp Thành Thành Công,▪ Công ty liên kết > • Công ty Cổ phần Khu Công nghiệp Thành Thành Công,• Công ty Cổ phần Khu Công nghiệp Thành Thành Công,"Âp An Hội, Xã An Hòa, Huyện TrăngBàng, Tỉnh Tây Ninh253 Hoàng Văn Thu, Phường 2, QuậnTân Bình, Thành phố Hồ Chí Minh",19.527.468,"39,05%","39,05%",488.186.700.000,,(*),,19527468.0,0.39049999999999996,0.39049999999999996,488186700000.0,,
• Công ty Cổ phần Đầu tư SVG,▪ Công ty liên kết > • Công ty Cổ phần Đầu tư SVG,• Công ty Cổ phần Đầu tư SVG,,100.000,"99,55%","50,00%",1.000.000.000,,(*),,100000.0,0.9954999999999999,0.5,1000000000.0,,
,,,,,,,551.687.755.914,-,,,,,,551687755914.0,,
▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,▪ Các đơn vị khác,,,,,,,
• Công ty TNHH SX-XD-DV Hoa Đồng (j),▪ Các đơn vị khác > • Công ty TNHH SX-XD-DV Hoa Đồng (j),• Công ty TNHH SX-XD-DV Hoa Đồng (j),"Đất Mới, Phường Bình Trị Đông A,Quận Bình Tân, Thành phố Hồ Chí Minh",-,(j),(j),200.000.000.000,-,(*),,,,,200000000000.0,,
• Công ty Cổ phần May Tiến Phát,▪ Các đơn vị khác > • Công ty Cổ phần May Tiến Phát,• Công ty Cổ phần May Tiến Phát,"171A Hoàng Hoa Thám, Phường 13,Quận Tân Bình, Thành phố Hồ Chí Minh",980.500,"4,00%","4,00%",18.230.998.907,-,(*),,980500.0,0.04,0.04,18230998907.0,,
• Công ty Cổ phần Đầu tư Tín Việt,▪ Các đơn vị khác > • Công ty Cổ phần Đầu tư Tín Việt,• Công ty Cổ phần Đầu tư Tín Việt,"262 Huỳnh Văn Bánh, Phường 11, QuậnPhú Nhuận, Thành phố Hồ Chí Minh",3.625.000,"9,13%","9,13%",39.875.000.000,-,,,3625000.0,0.0913,0.0913,39875000000.0,,
,,,,,,,258.105.998.907,-,,,,,,258105998907.0,,
,,,,,,,1.685.584.394.232,(99.528.681.984),,,,,,1685584394232.0,-99528681984.0,
"Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.","Tại ngày báo cáo, không có thông tin về giá trị hợp lý của các khoản đầu tư này.",,,,,,,
