row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị (VND),Số cuối năm > Lãi suất (%/năm),Số cuối năm > Kỳ hạn,Số đầu năm > Giá trị (VND),Số đầu năm > Lãi suất (%/năm),Số đầu năm > Kỳ hạn,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Lãi suất (%/năm),numeric__Số cuối năm > Kỳ hạn,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Lãi suất (%/năm),numeric__Số đầu năm > Kỳ hạn
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,
Trái phiếu phát hành theo mênh giá (*),Ngắn hạn > Trái phiếu phát hành theo mênh giá (*),Trái phiếu phát hành theo mênh giá (*),300.000.000.000,,"10,5% Đáo hạn vào tháng 11 năm 2018",-,,,300000000000.0,,,,,
Chi phí phát hành trái phiếu,Ngắn hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(834.166.667),,,,,,-834166667.0,,,,,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,299.165.833.333,,,,,,299165833333.0,,,,,
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,,,
Trái phiếu phát hành theo mênh giá (**),Dải hạn > Trái phiếu phát hành theo mênh giá (**),Trái phiếu phát hành theo mênh giá (**),1.440.000.000.000,,"9,3% Đáo hạn vào tháng 12 năm 2019",1.800.000.000.000,,"8,5% Đáo hạn vào tháng 12 năm 2019",1440000000000.0,,,1800000000000.0,,
Trái phiếu phát hành theo mênh giá (***),Dải hạn > Trái phiếu phát hành theo mênh giá (***),Trái phiếu phát hành theo mênh giá (***),350.000.000.000,"10,15% - 10,3%",Khoản trái phiếu cuối cùng đảo hạn vào tháng 12 năm 2021,-,,,350000000000.0,,,,,
Chi phí phát hành trái phiếu,Dải hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(8.085.762.158),,,(6.286.363.636),,,-8085762158.0,,,-6286363636.0,,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,1.781.914.237.842,,,1.793.713.636.364,,,1781914237842.0,,,1793713636364.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,360.000.000.000,,,360.000.000.000,,,360000000000.0,,,360000000000.0,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,1.421.914.237.842,,,1.433.713.636.364,,,1421914237842.0,,,1433713636364.0,,
