row_label_raw,row_label_full,STT > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tỷ lệ % sở hữu của Tập đoàn > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Giá trị đầu tư theo mệnh giá VND > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tỷ lệ % sở hữu của Tập đoàn > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Giá trị đầu tư theo mệnh giá VND > Công ty liên kết của Tập đoàn Đệt May Việt Nam
1,1,1,Tổng Công ty May Nhà Bè - CTCP,"27,69%",50.400.000.000,,0.27690000000000003,50400000000.0
2,2,2,Tổng Công ty May Đức Giang - CTCP,"36,79%",22.740.680.000,,0.3679,22740680000.0
3,3,3,Công ty CP May Hưng Yên,"35,01%",47.434.460.000,,0.35009999999999997,47434460000.0
4,4,4,Công ty CP May Phương Đông,"25,50%",9.180.000.000,,0.255,9180000000.0
5,5,5,Công ty CP May Bình Minh,"25,00%",9.000.000.000,,0.25,9000000000.0
6,6,6,Công ty CP May Hữu Nghị,"29,24%",27.508.330.000,,0.2924,27508330000.0
7,7,7,Công ty CP May Đồng Nai,"25,65%",15.331.680.000,,0.2565,15331680000.0
8,8,8,Công ty CP Vinatex OJ,"35,00%",10.143.000.000,,0.35,10143000000.0
9,9,9,Công ty CP May Chiến Thắng,"21,99%",6.120.000.000,,0.21989999999999998,6120000000.0
10,10,10,Công ty CP Vinatex Đà Nẵng,"30,00%",6.000.000.000,,0.3,6000000000.0
11,11,11,Công ty CP May Đáp Cầu,"24,04%",10.818.000.000,,0.2404,10818000000.0
12,12,12,Công ty CP May Nam Định,"30,00%",3.600.000.000,,0.3,3600000000.0
13,13,13,Công ty TNHH May mặc Xuất khẩu Tân Châu,"44,00%",3.564.000.000,,0.44,3564000000.0
14,14,14,Công ty CP Tư vấn Xây dựng và Dịch vụ Đầu tư,"23,46%",610.000.000,,0.2346,610000000.0
15,15,15,Tổng Công ty CP May Việt Tiến,"47,88%",134.059.200.000,,0.4788,134059200000.0
16,16,16,Tổng Công ty Việt Thắng - CTCP,"46,93%",98.550.000.000,,0.4693,98550000000.0
17,17,17,Tổng Công ty May 10 - CTCP,"35,51%",35.511.800.000,,0.35509999999999997,35511800000.0
18,18,18,Công ty CP Đệt May Viễn thông Sài gòn Vina,"30,00%",85.346.535.875,,0.3,85346535875.0
19,19,19,Công ty CP Đệt May Liên Phương,"30,77%",95.877.720.000,,0.3077,95877720000.0
20,20,20,Công ty CP Đầu tư và Xây dựng Vinatex,"44,16%",7.918.626.154,,0.4416,7918626154.0
Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,,,
21,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế > 21,21,Công ty TNHH Đệt may Vinatex Quốc Tế Toms,"23,97%",27.677.160.000,,0.2397,27677160000.0
Công ty liên kết của Tổng công ty Cổ phần Đệt may Hoà Thọ,Công ty liên kết của Tổng công ty Cổ phần Đệt may Hoà Thọ,Công ty liên kết của Tổng công ty Cổ phần Đệt may Hoà Thọ,Công ty liên kết của Tổng công ty Cổ phần Đệt may Hoà Thọ,Công ty liên kết của Tổng công ty Cổ phần Đệt may Hoà Thọ,Công ty liên kết của Tổng công ty Cổ phần Đệt may Hoà Thọ,,,
22,Công ty liên kết của Tổng công ty Cổ phần Đệt may Hoà Thọ > 22,22,Công ty CP VTD Hiệp Đức,"25,24%",3.700.000.000,,0.25239999999999996,3700000000.0
