row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.965.398.290.000,551.571.933.521,6.784.575.670,1.602.771.684.847,4.126.526.484.038,1965398290000.0,551571933521.0,6784575670.0,1602771684847.0,4126526484038.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.331.663.912.171,1.331.663.912.171,,,,1331663912171.0,1331663912171.0
Trả cổ tức bằng cổ phiếu (**),Năm nay > Trả cổ tức bằng cổ phiếu (**),Trả cổ tức bằng cổ phiếu (**),1.099.978.080.000,-,-,(1.099.978.080.000),-,1099978080000.0,,,-1099978080000.0,
Cổ tức công bố,Năm nay > Cổ tức công bố,Cổ tức công bố,-,-,-,(196.539.829.000),(196.539.829.000),,,,-196539829000.0,-196539829000.0
Thăng dư vốn cổ phần (**),Năm nay > Thăng dư vốn cổ phần (**),Thăng dư vốn cổ phần (**),399.988.750.000,(399.988.750.000),-,-,-,399988750000.0,-399988750000.0,,,
Tăng từ phát hành cổ phiếu có chọn lựacho người lao động (*),Năm nay > Tăng từ phát hành cổ phiếu có chọn lựacho người lao động (*),Tăng từ phát hành cổ phiếu có chọn lựacho người lao động (*),34.601.710.000,-,-,-,34.601.710.000,34601710000.0,,,,34601710000.0
Hoàn nhập khoản cổ tức đã công bố,Năm nay > Hoàn nhập khoản cổ tức đã công bố,Hoàn nhập khoản cổ tức đã công bố,-,-,-,148.310.000,148.310.000,,,,148310000.0,148310000.0
Trích lập quỹ khen thưởng và phúc lợi,Năm nay > Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,(60.167.737.724),(60.167.737.724),,,,-60167737724.0,-60167737724.0
Trích lập quỹ khác thuộc vốnchủ sở hữu,Năm nay > Trích lập quỹ khác thuộc vốnchủ sở hữu,Trích lập quỹ khác thuộc vốnchủ sở hữu,-,-,80.063.704.939,(80.063.704.939),-,,,80063704939.0,-80063704939.0,
Thường hoàn thành kế hoạch (***),Năm nay > Thường hoàn thành kế hoạch (***),Thường hoàn thành kế hoạch (***),-,-,-,(51.300.000.000),(51.300.000.000),,,,-51300000000.0,-51300000000.0
Sử dụng quỹ khác thuộc vốnchủ sở hữu,Năm nay > Sử dụng quỹ khác thuộc vốnchủ sở hữu,Sử dụng quỹ khác thuộc vốnchủ sở hữu,-,-,(52.312.539.414),-,(52.312.539.414),,,-52312539414.0,,-52312539414.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.499.966.830.000,151.583.183.521,34.535.741.195,1.446.534.555.355,5.132.620.310.071,3499966830000.0,151583183521.0,34535741195.0,1446534555355.0,5132620310071.0
