row_label_raw,row_label_full,col_0,Vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,(686.640),279.895.303,(3.716.219.664),5.837.668.469,9274679470.0,-686640.0,279895303.0,-3716219664.0,5837668469.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,180.389.114,180.389.114,,,,180389114.0,180389114.0
"Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Năm trước > Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Chi thù lao HĐQT, Ban Kiểm soát và Thư ký",-,-,-,(2.652.001),(2.652.001),,,,-2652001.0,-2652001.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,(686.640),279.895.303,(3.538.482.551),6.015.405.582,9274679470.0,-686640.0,279895303.0,-3538482551.0,6015405582.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,(686.640),279.895.303,(3.538.482.551),6.015.405.582,9274679470.0,-686640.0,279895303.0,-3538482551.0,6015405582.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,141.039.777,141.039.777,,,,141039777.0,141039777.0
"Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Năm nay > Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Chi thù lao HĐQT, Ban Kiểm soát và Thư ký",-,-,-,(1.536.000),(1.536.000),,,,-1536000.0,-1536000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,(686.640),279.895.303,(3.398.978.774),6.154.909.359,9274679470.0,-686640.0,279895303.0,-3398978774.0,6154909359.0
