row_label_raw,row_label_full,STT,CHỈ TIÊU > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,Thuyết minh > V.39,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__CHỈ TIÊU > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__Thuyết minh > V.39,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
2,2,2,Cam kết giao dịch hối đoái,,,,,,,
,,,Cam kết mua ngoại tệ,,8.707,705.900,,,8707.0,705900.0
,,,Cam kết bán ngoại tệ,,8.693,705.900,,,8693.0,705900.0
,,,Cam kết giao dịch hoán đổi,,64.332.668,88.311.196,,,64332668.0,88311196.0
4,2 > 4,4,Cam kết trong nghiệp vụ L/C,,6.602.763,5.493.687,,,6602763.0,5493687.0
5,2 > 5,5,"Bảo lãnh khác(Bảo lãnh bảo hành, thực hiện hợp đồng, tạm ứng)",,5.212.031,6.109.202,,,5212031.0,6109202.0
6,2 > 6,6,Hợp đồng hoán đổi lãi suất,,7.974.600,7.759.570,,,7974600.0,7759570.0
7,2 > 7,7,Lãi cho vay và phí phải thu chưa thu được,,3.674.843,2.021.913,,,3674843.0,2021913.0
8,2 > 8,8,Nợ gốc khó đòi đã xử lý,,5.012.050,4.783.138,,,5012050.0,4783138.0
9,2 > 9,9,Tải sản và chứng từ khác,,1.489.332,1.534.181,,,1489332.0,1534181.0
