row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải nộp/thu trong năm,Số đã nộp/thu trong năm,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộp/thu trong năm,numeric__Số đã nộp/thu trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,50.048.038.161,395.576.428.715,428.993.263.140,16.631.203.736,50048038161.0,395576428715.0,428993263140.0,16631203736.0
Thuế môn bài,Thuế và các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,32.000.000,32.000.000,-,,32000000.0,32000000.0,
"Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,584.675.835,584.675.835,-,,584675835.0,584675835.0,
Thuế thu nhập doanh nghiệp (*),Thuế và các khoản phải nộp > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),-,2.229.810.208.377,1.701.452.480.611,528.357.727.766,,2229810208377.0,1701452480611.0,528357727766.0
Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,23.491.755.164,361.339.678.902,325.761.290.647,59.070.143.419,23491755164.0,361339678902.0,325761290647.0,59070143419.0
Thuế tài nguyên,Thuế và các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,167.138.545,2.366.623.173,2.134.160.631,399.601.087,167138545.0,2366623173.0,2134160631.0,399601087.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",63.885.229.925,95.655.958.645,157.809.138.299,1.732.050.271,63885229925.0,95655958645.0,157809138299.0,1732050271.0
Thuế nhà thầu,Thuế và các khoản phải nộp > Thuế nhà thầu,Thuế nhà thầu,373.154.929,27.056.013.956,26.937.875.639,491.293.246,373154929.0,27056013956.0,26937875639.0,491293246.0
Chênh lệch thu chi khu bay,Thuế và các khoản phải nộp > Chênh lệch thu chi khu bay,Chênh lệch thu chi khu bay,-,1.678.983.319.154,1.678.983.319.154,-,,1678983319154.0,1678983319154.0,
Các khoản phải nộp khác,Thuế và các khoản phải nộp > Các khoản phải nộp khác,Các khoản phải nộp khác,94.715.961,168.820.068.646,168.914.784.607,-,94715961.0,168820068646.0,168914784607.0,
,,,138.060.032.685,4.960.224.975.403,4.491.602.988.563,606.682.019.525,138060032685.0,4960224975403.0,4491602988563.0,606682019525.0
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,44.306.200,-,44.306.200,-,44306200.0,,44306200.0,
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,50.062.004.593,-,50.062.004.593,-,50062004593.0,,50062004593.0,
Thuế thu nhập cá nhân,Thuế và các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.492.091.141,5.745.729.707,2.492.091.141,5.745.729.707,2492091141.0,5745729707.0,2492091141.0,5745729707.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",666.899.535,-,79.395.368,587.504.167,666899535.0,,79395368.0,587504167.0
Thuế nhà thầu,Thuế và các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,46.714,-,46.714,-,46714.0,,46714.0,
Lợi nhuận nộp ngân sách,Thuế và các khoản phải thu > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,9.883.091.867,51.714.915,5.006.779.833,4.928.026.949,9883091867.0,51714915.0,5006779833.0,4928026949.0
,,,63.148.440.050,5.797.444.622,57.684.623.849,11.261.260.823,63148440050.0,5797444622.0,57684623849.0,11261260823.0
