row_label_raw,row_label_full,Nội dung,Năm nay > VND,Năm trước(Trình bày lại) > VND,numeric__Năm nay > VND,numeric__Năm trước(Trình bày lại) > VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,2.840.600.093.525,2.495.693.748.667,2840600093525.0,2495693748667.0
1. Doanh thu dịch vụ hạ cắt cánh,1. Doanh thu dịch vụ hạ cắt cánh,1. Doanh thu dịch vụ hạ cắt cánh,2.776.995.498.777,2.435.561.626.750,2776995498777.0,2435561626750.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,69.222.323.211,54.746.113.576,69222323211.0,54746113576.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,2.707.773.175.566,2.380.815.513.174,2707773175566.0,2380815513174.0
2. Lãi tiền gửi,2. Lãi tiền gửi,2. Lãi tiền gửi,132.635.898.959,114.878.235.493,132635898959.0,114878235493.0
3. Thu nhập khác (Bảo hiểm bồi thường),3. Thu nhập khác (Bảo hiểm bồi thường),3. Thu nhập khác (Bảo hiểm bồi thường),191.019.000,-,191019000.0,
II. Chi phí,II. Chi phí,II. Chi phí,1.387.321.526.105,1.204.277.523.381,1387321526105.0,1204277523381.0
1. Chi phí hoạt động,1. Chi phí hoạt động,1. Chi phí hoạt động,1.023.971.884.250,881.423.467.059,1023971884250.0,881423467059.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,533.754.414.901,451.866.121.126,533754414901.0,451866121126.0
"Chi phí vật liệu, công cụ dụng cụ, đồ dùngvăn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùngvăn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùngvăn phòng",9.537.514.710,7.897.328.615,9537514710.0,7897328615.0
Chi phí khấu hao tài sản cố định phân bổ,Chi phí khấu hao tài sản cố định phân bổ,Chi phí khấu hao tài sản cố định phân bổ,70.926.177.987,17.460.101.838,70926177987.0,17460101838.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",(1.711.730.442),2.993.201.585,-1711730442.0,2993201585.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,227.616.214.737,253.443.418.231,227616214737.0,253443418231.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",20.718.600.536,15.409.713.569,20718600536.0,15409713569.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,44.024.723.083,34.930.765.884,44024723083.0,34930765884.0
Chi phí phúc lợi người lao động,Chi phí phúc lợi người lao động,Chi phí phúc lợi người lao động,50.107.871.325,38.216.794.575,50107871325.0,38216794575.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,65.842.983.317,59.206.021.636,65842983317.0,59206021636.0
Lỗ CLTG,Lỗ CLTG,Lỗ CLTG,3.155.114.096,-,3155114096.0,
2. Chi phí thuế thu nhập doanh nghiệp hiện hành,2. Chi phí thuế thu nhập doanh nghiệp hiện hành,2. Chi phí thuế thu nhập doanh nghiệp hiện hành,364.503.050.005,322.854.056.322,364503050005.0,322854056322.0
3. Chi phí thuế thu nhập hoãn lại,3. Chi phí thuế thu nhập hoãn lại,3. Chi phí thuế thu nhập hoãn lại,(1.153.408.150),-,-1153408150.0,
III. Chênh lệch doanh thu - chi phí,III. Chênh lệch doanh thu - chi phí,III. Chênh lệch doanh thu - chi phí,1.453.278.567.420,1.291.416.225.286,1453278567420.0,1291416225286.0
IV. Các thông tin liên quan khác :,IV. Các thông tin liên quan khác :,IV. Các thông tin liên quan khác :,,,,
1. Tổng Công ty ứng trước tiền chỉ đầu tưXDCB tài sản nhà nước (không bao gồm tiềnthanh toán cho các tài sản đã hình thành từ01/7/2014 - 31/3/2016)Trong kỳ,IV. Các thông tin liên quan khác : > 1. Tổng Công ty ứng trước tiền chỉ đầu tưXDCB tài sản nhà nước (không bao gồm tiềnthanh toán cho các tài sản đã hình thành từ01/7/2014 - 31/3/2016)Trong kỳ,1. Tổng Công ty ứng trước tiền chỉ đầu tưXDCB tài sản nhà nước (không bao gồm tiềnthanh toán cho các tài sản đã hình thành từ01/7/2014 - 31/3/2016)Trong kỳ,55.571.395.182,173.318.987.206,55571395182.0,173318987206.0
Điều chỉnh của các kỳ trước do phân loại tàisản Nhà nước sang tài sản Doanh nghiệp,IV. Các thông tin liên quan khác : > Điều chỉnh của các kỳ trước do phân loại tàisản Nhà nước sang tài sản Doanh nghiệp,Điều chỉnh của các kỳ trước do phân loại tàisản Nhà nước sang tài sản Doanh nghiệp,(89.984.192.246),,-89984192246.0,
"2. Tài sản cố định, vật tư dự phòng phát sinhtrong năm","IV. Các thông tin liên quan khác : > 2. Tài sản cố định, vật tư dự phòng phát sinhtrong năm","2. Tài sản cố định, vật tư dự phòng phát sinhtrong năm",46.158.689.972,179.305.953.110,46158689972.0,179305953110.0
3. Hao mòn tài sản cố định,IV. Các thông tin liên quan khác : > 3. Hao mòn tài sản cố định,3. Hao mòn tài sản cố định,196.792.828.636,190.547.212.704,196792828636.0,190547212704.0
