row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2018 > Triệu VND,31/12/2017 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2018 > Triệu VND,numeric__31/12/2017 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,15,112.491,105.970,,15.0,112491.0,105970.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,13.405.883,18.837.374,,16.0,13405883.0,18837374.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,12.761.764,14.022.129,,,12761764.0,14022129.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,644.119,4.815.245,,,644119.0,4815245.0
III,B > III,III,Tiền gửi của khách hàng,17,72.643.866,63.517.426,,17.0,72643866.0,63517426.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,12.467,3.887,,18.0,12467.0,3887.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,1.333.848,950.000,,19.0,1333848.0,950000.0
VII,B > VII,VII,Các khoản nợ khác,,2.530.485,2.076.870,,,2530485.0,2076870.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.321.044,1.803.683,,,2321044.0,1803683.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,209.441,273.187,,20.0,209441.0,273187.0
,,,TỔNG NỘ PHẢI TRẢ,,90.039.040,85.491.527,,,90039040.0,85491527.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,7.076.037,6.368.278,,21.0,7076037.0,6368278.0
1,B > 1,1,Vốn của tổ chức tín dụng,,5.507.398,5.007.398,,,5507398.0,5007398.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,5.500.000,5.000.000,,,5500000.0,5000000.0
\( c \),B > \( c \),\( c \),Thặng dư vốn có phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,400.015,312.172,,,400015.0,312172.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.168.624,1.048.708,,,1168624.0,1048708.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,97.115.077,91.859.805,,,97115077.0,91859805.0
