row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Tổng cộng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,15.781.667.712,15.781.667.712,15781667712.0,15781667712.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,71.793.804.853,71.793.804.853,71793804853.0,71793804853.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,223.690.640,223.690.640,223690640.0,223690640.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(3.126.658.352),(3.126.658.352),-3126658352.0,-3126658352.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,84.672.504.853,84.672.504.853,84672504853.0,84672504853.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,1.792.780.061,1.792.780.061,1792780061.0,1792780061.0
- Khấu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong kỳ,- Khấu hao trong kỳ,1.134.262.147,1.134.262.147,1134262147.0,1134262147.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(291.821.460),(291.821.460),-291821460.0,-291821460.0
- Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > - Giảm khác,- Giảm khác,(508.799.723),(508.799.723),-508799723.0,-508799723.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,2.126.421.025,2.126.421.025,2126421025.0,2126421025.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,13.988.887.651,13.988.887.651,13988887651.0,13988887651.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,82.546.083.828,82.546.083.828,82546083828.0,82546083828.0
