row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụng cụquản lýTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụng cụquản lýTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,492.896,433.818,186.249,21.238,5.386,1.139.587,492896.0,433818.0,186249.0,21238.0,5386.0,1139587.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,24.927,1.333,2.514,2.605,31.379,,24927.0,1333.0,2514.0,2605.0,31379.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(365),(9.315),(526),(32),(10.238),,-365.0,-9315.0,-526.0,-32.0,-10238.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,492.896,458.380,178.267,23.226,7.959,1.160.728,492896.0,458380.0,178267.0,23226.0,7959.0,1160728.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số đầu năm,Giá trị khấu hao luỹ kế > Số đầu năm,Số đầu năm,98.801,316.252,126.546,14.876,4.114,560.589,98801.0,316252.0,126546.0,14876.0,4114.0,560589.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,10.308,34.297,10.160,3.165,928,58.858,10308.0,34297.0,10160.0,3165.0,928.0,58858.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(355),(9.315),(524),(32),(10.226),,-355.0,-9315.0,-524.0,-32.0,-10226.0
Số cuối năm,Giá trị khấu hao luỹ kế > Số cuối năm,Số cuối năm,109.109,350.194,127.391,17.517,5.010,609.221,109109.0,350194.0,127391.0,17517.0,5010.0,609221.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,394.095,117.566,59.703,6.362,1.272,578.998,394095.0,117566.0,59703.0,6362.0,1272.0,578998.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,383.787,108.186,50.876,5.709,2.949,551.507,383787.0,108186.0,50876.0,5709.0,2949.0,551507.0
