row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2023Triệu VND,31.12.2022Triệu VND,,
Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,,
Tiền gửi tại Ngân hàng Nhà nước,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,18.504.709,13.657.531,18504709.0,13657531.0
Tiền gửi và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,111.225.983,85.739.411,111225983.0,85739411.0
Chứng khoán kinh doanh - chứng khoán nợ,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Chứng khoán kinh doanh - chứng khoán nợ,Chứng khoán kinh doanh - chứng khoán nợ,5.879.766,644.059,5879766.0,644059.0
Các công cụ tài chính phải sinh,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,100.072,,100072.0
Cho vay khách hàng,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Cho vay khách hàng,Cho vay khách hàng,481.276.138,410.153.319,481276138.0,410153319.0
"Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán","Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán","Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán",44.891.107,31.842.254,44891107.0,31842254.0
- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > - Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,28.559.579,43.679.879,28559579.0,43679879.0
Các tài sản tài chính khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Các tài sản tài chính khác,Các tài sản tài chính khác,7.312.608,7.536.908,7312608.0,7536908.0
,,,697.649.890,593.353.433,697649890.0,593353433.0
Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:Các cam kết ngoại bảng,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:Các cam kết ngoại bảng,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:Các cam kết ngoại bảng,22.164.732,18.903.963,22164732.0,18903963.0
