row_label_raw,row_label_full,Họ và tên,Chức vụ,2024,2023,Ghi chú,numeric__Chức vụ,numeric__2024,numeric__2023,numeric__Ghi chú
"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường","THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường","THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường",,Triệu VND,Triệu VND,,,,,
Ông Phan Đức TúÔng Lê Ngọc Lâm,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Ông Phan Đức TúÔng Lê Ngọc Lâm",Ông Phan Đức TúÔng Lê Ngọc Lâm,Chủ tịch Ủy viên Hội đồng Quản trị kiểm Tổng Giám đốc,2.731,2.481,,,2731.0,2481.0,
Bà Phan Thị Chinh,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Bà Phan Thị Chinh",Bà Phan Thị Chinh,Ủy viên,2.327,2.153,,,2327.0,2153.0,
Bà Phan Thị Chinh,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Bà Phan Thị Chinh",Bà Phan Thị Chinh,Ủy viên,982,2.205,Nghì hưu theo chế độ từ ngày 1 tháng 6 năm 2024,,982.0,2205.0,
Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên",Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,Ủy viên,1.995,1.903,,,1995.0,1903.0,
Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên",Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,Ủy viên,4.264,4.027,,,4264.0,4027.0,
Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên",Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,Ủy viên,2.095,1.969,,,2095.0,1969.0,
Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên",Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,Ủy viên,2.393,2.264,,,2393.0,2264.0,
Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên",Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,Ủy viên,2.180,1.999,,,2180.0,1999.0,
Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,"THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ Thù lao, thường > Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên",Ông Ngô Văn DũngÔng Yoo Je BongÔng Phạm Quang TùngÔng Trần Xuân HoàngÔng Lê Kim HòaÔng Đăng Văn Tuyên,Ủy viên,1.720,1.089,Bố nhiệm ngày 28 tháng 4 năm 2023,,1720.0,1089.0,
