row_label_raw,row_label_full,STT,Tên công ty,Trụ sở chính,Hoạt động chính,Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%)_1,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,numeric__Tên công ty,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ lợi ích (%)_1,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1
STT,STT,STT,Tên công ty,Trụ sở chính,Hoạt động chính,31/12/2022,31/12/2021,31/12/2022,31/12/2021,,,,,,,
1,STT > 1,1,Công ty Cổ phần đầu tư Khánh Hà (“Công ty Khánh Hà”),"Cầu Đá, phường Vĩnh Nguyên, thành phố Nha Trang, tỉnh Khánh Hòa",Đầu tư và kinh doanh bất động sản,"70,92%","70,92%","70,92%","70,92%",,,,0.7092,0.7092,0.7092,0.7092
2,STT > 2,2,Công ty Cổ phần Hà Đô - 756 Sài Gòn (“Công ty 756 Sài Gòn”),"Số 2 Hồng Hà, phường 2, quận Tân Bình, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,"63,00%","63,00%","63,00%","63,00%",,,,0.63,0.63,0.63,0.63
3,STT > 3,3,Công ty Cổ phần Za Hưng (“Công ty Za Hưng”),"Số 8 Láng Hạ, phường Thành Công, quận Ba Đình, thành phố Hà Nội","Sản xuất, truyền tải và phân phối điện","51,75%","51,75%","51,75%","51,75%",,,,0.5175,0.5175,0.5175,0.5175
4,STT > 4,4,Công ty Cổ phần Thủy điện Sông Tranh 4 (“Công ty Sông Tranh 4”) (i),"Thôn Tam Tú, xã Quế Lưu, huyện Hiệp Đức, tỉnh Quảng Nam","Sản xuất, truyền tải và phân phối điện","62,72%","62,72%","89,68%","89,68%",,,,0.6272,0.6272,0.8968,0.8968
5,STT > 5,5,Công ty TNHH Hà Đô Bình Thuận (“Công ty Hà Đô Bình Thuận”) (i),"Số 101 thôn Hồng Trung, xã Hồng Phong, huyện Bắc Bình, tỉnh Bình Thuận","Sản xuất, truyền tải và phân phối điện","83,22%","83,22%","90,00%","90,00%",,,,0.8321999999999999,0.8321999999999999,0.9,0.9
6,STT > 6,6,Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (“Công ty Quốc tế Hà Đô”),"Số 272, đường Dondeng, bản Nongtha Tay, huyện Chanthabuly, thủ đô Viêng Chăn, Lào",Đầu tư và kinh doanh bất động sản,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
7,STT > 7,7,Công ty Cổ phần Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (“Công ty Quản lý Hà Đô”),"Số 60M Trường Sơn, phường 2, quận Tân Bình, thành phố Hồ Chí Minh","Tư vấn, quản lý bất động sản","99,95%","99,95%","99,95%","99,95%",,,,0.9995,0.9995,0.9995,0.9995
8,STT > 8,8,Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (“Công ty Bình An Riverside”) (ii),"Số 2735 Phạm Thế Hiển, phường 7, quận 8, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,"99,97%","99,00%","99,97%","99,00%",,,,0.9997,0.99,0.9997,0.99
