row_label_raw,row_label_full,Ông:,Lê Thanh Thuân,Tổng Giám đốc,numeric__Lê Thanh Thuân,numeric__Tổng Giám đốc
Ông:,Ông:,Ông:,Nguyễn Văn Hung,Phó Tổng Giám đốc,,
Ông:,Ông:,Ông:,Lê Văn Chung,Phó Tổng Giám đốc,,
Ông:,Ông:,Ông:,Lê Văn Thành,Phó Tổng Giám đốc,,
Ông:,Ông:,Ông:,Lê Xuân Quế,Phó Tổng Giám đốc,,
Ông:,Ông:,Ông:,Lê Văn Lâm,Phó Tổng Giám đốc,,
Ông:,Ông:,Ông:,Trương Vĩnh Thành,Phó Tổng Giám đốc,,
Bà:,Bà:,Bà:,Lê Thị Phượng,Phó Tổng Giám đốc,,
Ông:,Ông:,Ông:,Lê Tuấn Anh,Phó Tổng Giám đốc,,
Ông:,Ông:,Ông:,Lê Nguyễn Hoàng Anh Duy,Phó Tổng Giám đốc ( Bổ nhiệm ngày 01/03/2023),,
Ông:,Ông:,Ông:,Trương Công Khánh,Giám Đốc Tài Chính,,
