row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,33.391.595.439,-,33.391.595.439,33391595439.0,,33391595439.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,16.451.331.459,-,16.451.331.459,16451331459.0,,16451331459.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,91.690.000.000,-,91.690.000.000,91690000000.0,,91690000000.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,3.347.372.297.286,3.347.372.297.286,,3347372297286.0,3347372297286.0
Cộng,Cộng,Cộng,141.532.926.898,3.347.372.297.286,3.488.905.224.184,141532926898.0,3347372297286.0,3488905224184.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,243.475.000.000,-,243.475.000.000,243475000000.0,,243475000000.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,69.488.736.542,-,69.488.736.542,69488736542.0,,69488736542.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,1.251.545.455,-,1.251.545.455,1251545455.0,,1251545455.0
Công nợ tài chính khác,Số cuối năm > Công nợ tài chính khác,Công nợ tài chính khác,99.085.789,-,99.085.789,99085789.0,,99085789.0
Cộng,Số cuối năm > Cộng,Cộng,314.314.367.786,-,314.314.367.786,314314367786.0,,314314367786.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(172.781.440.888),3.347.372.297.286,3.174.590.856.398,-172781440888.0,3347372297286.0,3174590856398.0
,,,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,16.483.670.555,-,16.483.670.555,16483670555.0,,16483670555.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,83.789.998.024,499.706.000.000,583.495.998.024,83789998024.0,499706000000.0,583495998024.0
Đầu tư tài chính ngắn hạn,Số đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,807.577.048.455,-,807.577.048.455,807577048455.0,,807577048455.0
Đầu tư tài chính dài hạn,Số đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.452.832.297.286,1.452.832.297.286,,1452832297286.0,1452832297286.0
Cộng,Số đầu năm > Cộng,Cộng,907.850.717.034,1.952.538.297.286,2.860.389.014.320,907850717034.0,1952538297286.0,2860389014320.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,55.470.682.719,-,55.470.682.719,55470682719.0,,55470682719.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,218.545.455,-,218.545.455,218545455.0,,218545455.0
Công nợ tài chính khác,Số đầu năm > Công nợ tài chính khác,Công nợ tài chính khác,77.207.727,-,77.207.727,77207727.0,,77207727.0
Cộng,Số đầu năm > Cộng,Cộng,55.766.435.901,-,55.766.435.901,55766435901.0,,55766435901.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,852.084.281.133,1.952.538.297.286,2.804.622.578.419,852084281133.0,1952538297286.0,2804622578419.0
