row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024 > Giá gốc VND,Tại ngày 31 tháng 12 năm 2024 > Chênh lệch tăng VND,Tại ngày 31 tháng 12 năm 2024 > Chênh lệch giảm VND,Tại ngày 31 tháng 12 năm 2024 > Giá trị đánh giá lại/ Giá trị hợp lý VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Giá gốc VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Chênh lệch tăng VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Chênh lệch giảm VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Giá trị đánh giá lại/ Giá trị hợp lý VND
Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,,,,
Cổ phiếu,Tài sản tài chính FVTPL > Cổ phiếu,Cổ phiếu,157.455.739.208,10.288.149.429,(63.865.361),167.680.023.276,157455739208.0,10288149429.0,-63865361.0,167680023276.0
Trái phiếu,Tài sản tài chính FVTPL > Trái phiếu,Trái phiếu,999.786.000.000,-,-,999.786.000.000,999786000000.0,,,999786000000.0
Chứng chỉ tiền gửi,Tài sản tài chính FVTPL > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,746.569.135.567,-,-,746.569.135.567,746569135567.0,,,746569135567.0
Chứng chỉ quỹ,Tài sản tài chính FVTPL > Chứng chỉ quỹ,Chứng chỉ quỹ,50.131.577.788,9.651.582.212,-,59.783.160.000,50131577788.0,9651582212.0,,59783160000.0
,,,1.953.942.452.563,19.939.731.641,(63.865.361),1.973.818.318.843,1953942452563.0,19939731641.0,-63865361.0,1973818318843.0
Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,,,,
Trái phiếu (*),Tài sản tài chính AFS > Trái phiếu (*),Trái phiếu (*),1.987.835.612.518,-,-,1.987.835.612.518,1987835612518.0,,,1987835612518.0
Chứng chỉ tiền gửi,Tài sản tài chính AFS > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,600.568.892.700,-,-,600.568.892.700,600568892700.0,,,600568892700.0
,,,2.588.404.505.218,-,-,2.588.404.505.218,2588404505218.0,,,2588404505218.0
Tổng cộng,Tài sản tài chính AFS > Tổng cộng,Tổng cộng,4.542.346.957.781,19.939.731.641,(63.865.361),4.562.222.824.061,4542346957781.0,19939731641.0,-63865361.0,4562222824061.0
