row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Quá hạn > Đến 3 tháng Triệu VND,Quá hạn > Trên 3 tháng Triệu VND,Trong hạn > Đến 1 tháng Triệu VND,Trong hạn > Từ 1 đến 3 tháng Triệu VND,Trong hạn > Từ 3 đến 12 tháng Triệu VND,Trong hạn > Từ 1 năm đến 5 năm Triệu VND,Trong hạn > Trên 5 năm Triệu VND,Tổng > Triệu VND,numeric__Quá hạn > Đến 3 tháng Triệu VND,numeric__Quá hạn > Trên 3 tháng Triệu VND,numeric__Trong hạn > Đến 1 tháng Triệu VND,numeric__Trong hạn > Từ 1 đến 3 tháng Triệu VND,numeric__Trong hạn > Từ 3 đến 12 tháng Triệu VND,numeric__Trong hạn > Từ 1 năm đến 5 năm Triệu VND,numeric__Trong hạn > Trên 5 năm Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.617.912,-,-,-,-,1.617.912,,,1617912.0,,,,,1617912.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,10.062.633,-,-,-,-,10.062.633,,,10062633.0,,,,,10062633.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,30.727.898,12.361.509,8.810.401,-,-,51.899.808,,,30727898.0,12361509.0,8810401.0,,,51899808.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,20.958,-,-,-,-,20.958,,,20958.0,,,,,20958.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,,,,,
và hoạt động mua nợ - gộp,Cho vay khách hàng > và hoạt động mua nợ - gộp,và hoạt động mua nợ - gộp,1.491.100,1.959.727,8.863.101,19.955.967,57.436.246,61.416.497,80.925.290,232.047.928,1491100.0,1959727.0,8863101.0,19955967.0,57436246.0,61416497.0,80925290.0,232047928.0
Chứng khoán đầu tư - gộp,Cho vay khách hàng > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,3.122.346,100.469,29.884.646,4.374.187,2.811.115,40.292.763,,,3122346.0,100469.0,29884646.0,4374187.0,2811115.0,40292763.0
"Góp vốn, đầu tư dài hạn","Cho vay khách hàng > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,419.667,419.667,,,,,,,419667.0,419667.0
Tài sản cố định,Cho vay khách hàng > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,697.120,697.120,,,,,,,697120.0,697120.0
Tài sản Có khác – gộp,Cho vay khách hàng > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,3.574.671,2.365.763,3.222.228,-,-,9.162.662,,,3574671.0,2365763.0,3222228.0,,,9162662.0
Tổng tài sản,Cho vay khách hàng > Tổng tài sản,Tổng tài sản,1.491.100,1.959.727,57.989.519,34.783.708,99.353.521,65.790.684,84.853.192,346.221.451,1491100.0,1959727.0,57989519.0,34783708.0,99353521.0,65790684.0,84853192.0,346221451.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,47.369.204,6.337.110,7.763.610,9.696.517,-,71.166.441,,,47369204.0,6337110.0,7763610.0,9696517.0,,71166441.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,63.789.194,32.585.764,76.827.880,27.307.120,100,200.510.058,,,63789194.0,32585764.0,76827880.0,27307120.0,100.0,200510058.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,3.336,4.756,-,-,8.092,,,,3336.0,4756.0,,,8092.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,233.874,47.255,9.599.140,19.394.549,2.500.000,31.774.818,,,233874.0,47255.0,9599140.0,19394549.0,2500000.0,31774818.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.729.631,-,3.317.429,-,-,7.047.060,,,3729631.0,,3317429.0,,,7047060.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,115.121.903,38.973.465,97.512.815,56.398.186,2.500.100,310.506.469,,,115121903.0,38973465.0,97512815.0,56398186.0,2500100.0,310506469.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,1.491.100,1.959.727,(57.132.384),(4.189.757),1.840.706,9.392.498,82.353.092,35.714.982,1491100.0,1959727.0,-57132384.0,-4189757.0,1840706.0,9392498.0,82353092.0,35714982.0
