row_label_raw,row_label_full,col_0,Năm 2017 triệu đồng,Năm 2016 triệu đồng,numeric__Năm 2017 triệu đồng,numeric__Năm 2016 triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,582.223,378.717,582223.0,378717.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,218.653,172.920,218653.0,172920.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,4.494,4.088,4494.0,4088.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,22.312,21.150,22312.0,21150.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,1.011,2.472,1011.0,2472.0
Thu phí khác,Thu phí khác,Thu phí khác,335.753,178.087,335753.0,178087.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(184.184),(131.615),-184184.0,-131615.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(114.872),(84.826),-114872.0,-84826.0
Cước phí bưu điện về mạng viễn thông,Cước phí bưu điện về mạng viễn thông,Cước phí bưu điện về mạng viễn thông,(22.725),(17.943),-22725.0,-17943.0
Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,(1.494),-,-1494.0,
Dịch vụ tư vấn,Dịch vụ tư vấn,Dịch vụ tư vấn,(32),(805),-32.0,-805.0
Dịch vụ môi giới,Dịch vụ môi giới,Dịch vụ môi giới,(26.655),(10.464),-26655.0,-10464.0
Chi khác,Chi khác,Chi khác,(18.406),(17.577),-18406.0,-17577.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,398.039,247.102,398039.0,247102.0
