row_label_raw,row_label_full,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty Cổ phần Công nghiệp Tàu thủy Shinnec,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Hạn chế chuyển nhượng,Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Hạn chế chuyển nhượng,Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Hạn chế chuyển nhượng,,,,
Cộng,Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Hạn chế chuyển nhượng > Cộng,Cộng,206.674.730.000,206.674.730.000,206674730000.0,206674730000.0
A.7.15. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,A.7.15. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,A.7.15. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính được hưởng quyền của CTCK,A.7.15. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính > Tài sản tài chính được hưởng quyền của CTCK,Tài sản tài chính được hưởng quyền của CTCK,,10.000,,10000.0
Cộng,A.7.15. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính > Cộng,Cộng,,10.000,,10000.0
A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính,A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính,A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính,Số cuối năm,Số đầu năm,,
1.Tài sản tài chính giao dịch tự do chuyển nhượng,A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính > 1.Tài sản tài chính giao dịch tự do chuyển nhượng,1.Tài sản tài chính giao dịch tự do chuyển nhượng,30.915.187.615.975,27.268.783.294.159,30915187615975.0,27268783294159.0
2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính > 2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,111.405.300.000,110.099.600.000,111405300000.0,110099600000.0
3.Tài sản tài chính giao dịch cấm cố,A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính > 3.Tài sản tài chính giao dịch cấm cố,3.Tài sản tài chính giao dịch cấm cố,1.133.522.100.000,1.034.294.920.000,1133522100000.0,1034294920000.0
"4.Tài sản tài chính phong tỏa, tạm giữ","A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính > 4.Tài sản tài chính phong tỏa, tạm giữ","4.Tài sản tài chính phong tỏa, tạm giữ",10.715.400.000,26.129.190.000,10715400000.0,26129190000.0
5.Tài sản tài chính chờ thanh toán,A.7.16. Tài sản tài chính niêm yết/dăng ký giao dịch của Nhà đầu tưTài sản tài chính > 5.Tài sản tài chính chờ thanh toán,5.Tài sản tài chính chờ thanh toán,296.592.669.000,598.067.036.300,296592669000.0,598067036300.0
6.Tài sản tài chính chờ cho vay,6.Tài sản tài chính chờ cho vay,6.Tài sản tài chính chờ cho vay,,,,
Cộng,6.Tài sản tài chính chờ cho vay > Cộng,Cộng,32.467.423.084.975,29.037.374.040.459,32467423084975.0,29037374040459.0
