row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,,
"Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (*)","Tên công ty con > Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (*)","Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (*)",Kinh doanh BĐS,Đang hoạt động,"99,99",10.095.488.704.626,"99,99",8.976.988.704.626,,,99.99,10095488704626.0,99.99,8976988704626.0
"Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"")","Tên công ty con > Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"")","Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"")",Môi giới BĐS,Đang hoạt động,"55,37",2.000.603.604.073,"55,85",2.000.603.604.073,,,55.37,2000603604073.0,55.85,2000603604073.0
"Công ty TNHH Đầu tư Bất động sản Phúc Hưng Phát (""Phúc Hưng Phát"")","Tên công ty con > Công ty TNHH Đầu tư Bất động sản Phúc Hưng Phát (""Phúc Hưng Phát"")","Công ty TNHH Đầu tư Bất động sản Phúc Hưng Phát (""Phúc Hưng Phát"")",Kinh doanh BĐS,Đang hoạt động,100,755.000.000.000,100,755.000.000.000,,,100.0,755000000000.0,100.0,755000000000.0
"Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")","Tên công ty con > Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")","Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")",Đầu tư,Đang hoạt động,85,297.500.000.000,85,297.500.000.000,,,85.0,297500000000.0,85.0,297500000000.0
"Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")","Tên công ty con > Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")","Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")",Đầu tư,Đang làm thủ tục giải thể,100,10.620.000.000,100,10.620.000.000,,,100.0,10620000000.0,100.0,10620000000.0
"Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"")","Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"")","Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"")",,,,,,,,,,,,
"Công ty TNHH Athena Invest (""Anthena Invest"")","Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"") > Công ty TNHH Athena Invest (""Anthena Invest"")","Công ty TNHH Athena Invest (""Anthena Invest"")",Đầu tư,Đang hoạt động,100,1.130.000.000,100,1.130.000.000,,,100.0,1130000000.0,100.0,1130000000.0
"Công ty TNHH Patheon Holdings (""Pathenon Holdings"")","Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"") > Công ty TNHH Patheon Holdings (""Pathenon Holdings"")","Công ty TNHH Patheon Holdings (""Pathenon Holdings"")",Đầu tư,Đang hoạt động,100,800.000.000,100,800.000.000,,,100.0,800000000.0,100.0,800000000.0
"Công ty TNHH Đất Xanh Finance (""Đất Xanh Finance"")","Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"") > Công ty TNHH Đất Xanh Finance (""Đất Xanh Finance"")","Công ty TNHH Đất Xanh Finance (""Đất Xanh Finance"")",Đầu tư,Đang làm thủ tục giải thể,100,50.000.000,100,50.000.000,,,100.0,50000000.0,100.0,50000000.0
TỔNG CỘNG,"Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"") > TỔNG CỘNG",TỔNG CỘNG,,,,13.161.192.308.699,,12.042.692.308.699,,,,13161192308699.0,,12042692308699.0
Dự phòng đầu tư vào công ty con,"Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"") > Dự phòng đầu tư vào công ty con",Dự phòng đầu tư vào công ty con,,,,(10.565.030.639),,(10.849.328.690),,,,-10565030639.0,,-10849328690.0
GIÁ TRỊ THUÀN,"Công ty TNHH MTV Đất Xanh Tech (""Dat Xanh Tech"") > GIÁ TRỊ THUÀN",GIÁ TRỊ THUÀN,,,,13.150.627.278.060,,12.031.842.980.009,,,,13150627278060.0,,12031842980009.0
