row_label_raw,row_label_full,col_0,Thuyết minh,2018 Triệu VND,2017 Triệu VND,numeric__Thuyết minh,numeric__2018 Triệu VND,numeric__2017 Triệu VND
Trích lập dự phòng cụ thể tiền gửi và cho vay các TCTD khác,Trích lập dự phòng cụ thể tiền gửi và cho vay các TCTD khác,Trích lập dự phòng cụ thể tiền gửi và cho vay các TCTD khác,7,10.618,788,7.0,10618.0,788.0
Biến động dự phòng cho vay khách hàng,Biến động dự phòng cho vay khách hàng,Biến động dự phòng cho vay khách hàng,,,,,,
Trích lập dự phòng chung,Biến động dự phòng cho vay khách hàng > Trích lập dự phòng chung,Trích lập dự phòng chung,11,55.799,17.950,11.0,55799.0,17950.0
Trích lập dự phòng cụ thể,Biến động dự phòng cho vay khách hàng > Trích lập dự phòng cụ thể,Trích lập dự phòng cụ thể,11,937.433,186.997,11.0,937433.0,186997.0
Biến động dự phòng mua bán nợ,Biến động dự phòng mua bán nợ,Biến động dự phòng mua bán nợ,,,,,,
Hoàn nhập dự phòng chung,Biến động dự phòng mua bán nợ > Hoàn nhập dự phòng chung,Hoàn nhập dự phòng chung,12,-,(266),12.0,,-266.0
Trích lập dự phòng cụ thể,Biến động dự phòng mua bán nợ > Trích lập dự phòng cụ thể,Trích lập dự phòng cụ thể,12,9.943,33.668,12.0,9943.0,33668.0
(Hoàn nhập)/trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,Biến động dự phòng mua bán nợ > (Hoàn nhập)/trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,(Hoàn nhập)/trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,13,(113.205),435.432,13.0,-113205.0,435432.0
Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán,,,,,,
Trích lập dự phòng chung,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán > Trích lập dự phòng chung,Trích lập dự phòng chung,19,9.912,10.172,19.0,9912.0,10172.0
(Hoàn nhập)/trích lập dự phòng cụ thể,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán > (Hoàn nhập)/trích lập dự phòng cụ thể,(Hoàn nhập)/trích lập dự phòng cụ thể,19,(170.905),332.618,19.0,-170905.0,332618.0
,,,,739.595,1.017.359,,739595.0,1017359.0
