row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,35.324,409.651,86.042,90.343,872,622.232,35324.0,409651.0,86042.0,90343.0,872.0,622232.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,42,76.664,8.921,1.787,-,87.414,42.0,76664.0,8921.0,1787.0,,87414.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(325),(565),(482),(843),-,(2.215),-325.0,-565.0,-482.0,-843.0,,-2215.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,-,(59),59,-,,,,-59.0,59.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,35.041,485.750,94.481,91.228,931,707.431,35041.0,485750.0,94481.0,91228.0,931.0,707431.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,14.786,338.181,61.254,79.679,820,494.720,14786.0,338181.0,61254.0,79679.0,820.0,494720.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,797,37.870,8.203,4.577,20,51.467,797.0,37870.0,8203.0,4577.0,20.0,51467.0
Thanh lý trong năm,Hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(325),(364),(482),(825),-,(1.996),-325.0,-364.0,-482.0,-825.0,,-1996.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,-,-,-,(50),50,-,,,,-50.0,50.0,
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,15.258,375.687,68.975,83.381,890,544.191,15258.0,375687.0,68975.0,83381.0,890.0,544191.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,20.538,71.470,24.788,10.664,52,127.512,20538.0,71470.0,24788.0,10664.0,52.0,127512.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,19.783,110.063,25.506,7.847,41,163.240,19783.0,110063.0,25506.0,7847.0,41.0,163240.0
