row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2021,NGUYÊN GIÁ > 01/01/2021,01/01/2021,9.412.672.825,205.700.000,9.618.372.825,9412672825.0,205700000.0,9618372825.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,,,
31/12/2021,"- Thanh lý, nhượng bán > 31/12/2021",31/12/2021,9.412.672.825,205.700.000,9.618.372.825,9412672825.0,205700000.0,9618372825.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,
01/01/2021,GIÁ TRỊ HAO MÒN > 01/01/2021,01/01/2021,-,(205.700.000),(205.700.000),,-205700000.0,-205700000.0
- Khấu hao trong năm,- Khấu hao trong năm,- Khấu hao trong năm,-,-,-,,,
31/12/2021,- Khấu hao trong năm > 31/12/2021,31/12/2021,-,(205.700.000),(205.700.000),,-205700000.0,-205700000.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2021,GIÁ TRỊ CÒN LẠI > 01/01/2021,01/01/2021,9.412.672.825,-,9.412.672.825,9412672825.0,,9412672825.0
31/12/2021,GIÁ TRỊ CÒN LẠI > 31/12/2021,31/12/2021,9.412.672.825,-,9.412.672.825,9412672825.0,,9412672825.0
