row_label_raw,row_label_full,TT,"Tên công ty, chi nhánh công ty từ ngày 1 tháng 10 năm 2025","Tên công ty, chi nhánh công ty đến ngày 30 tháng 9 năm 2025","numeric__Tên công ty, chi nhánh công ty từ ngày 1 tháng 10 năm 2025","numeric__Tên công ty, chi nhánh công ty đến ngày 30 tháng 9 năm 2025"
1,1,1,Công ty TNHH Một thành viên Petrolimex Cao Bằng,Công ty Xăng dầu Cao Bằng,,
2,2,2,Công ty TNHH Một thành viên Petrolimex Lai Châu,Công ty TNHH Một thành viên Xăng dầu Lai Châu,,
3,3,3,Công ty TNHH Một thành viên Petrolimex Điện Biên,Công ty Xăng dầu Điện Biên,,
4,4,4,Công ty TNHH Một thành viên Petrolimex Tuyên Quang,Công ty Xăng dầu Tuyên Quang - Công ty TNHH Một thành viên,,
,,,Chi nhánh Petrolimex Hà Giang,Công ty Xăng dầu Hà Giang,,
5,5,5,Công ty TNHH Một thành viên Petrolimex Lào Cai,Công ty Xăng dầu Yên Bái,,
,,,Chi nhánh Petrolimex Bắc Lào Cai,Công ty TNHH Một thành viên Xăng dầu Lào Cai,,
6,6,6,Công ty TNHH Một thành viên Petrolimex Thái Nguyên,Công ty Xăng dầu Bắc Thái,,
7,7,7,Công ty TNHH Một thành viên Petrolimex Bắc Ninh,Công ty Xăng dầu Hà Bắc,,
,,,Chi nhánh Petrolimex Kinh Bắc,Công ty TNHH Một thành viên Xăng dầu Bắc Ninh,,
8,8,8,Công ty TNHH Một thành viên Petrolimex Hà Nội,Công ty TNHH Một thành viên Petrolimex Hà Nội,,
,,,,Công ty Xăng dầu Hà Sơn Bình - Công ty TNHH Một thành viên,,
9,9,9,Công ty TNHH Một thành viên Petrolimex Phú Thọ,Công ty Xăng dầu Phú Thọ,,
,,,Chi nhánh Petrolimex Vĩnh Phúc,Công ty TNHH Một thành viên Xăng dầu Vĩnh Phúc,,
,,,Chi nhánh Petrolimex Hòa Bình,Chi nhánh Xăng dầu Hòa Bình của Công ty Xăng dầu Hà Sơn Bình- Công ty TNHH Một thành viên,,
