row_label_raw,row_label_full,Tên công ty,Số lượng tại 31/12/2016 (Cổ phiếu),numeric__Số lượng tại 31/12/2016 (Cổ phiếu)
Cảm cổ cổ phiếu của OCH tại các công ty:,Cảm cổ cổ phiếu của OCH tại các công ty:,Cảm cổ cổ phiếu của OCH tại các công ty:,,
Công ty Cổ phần Giáo dục Quốc tế Thần Đồng\( ^{(1)} \),Cảm cổ cổ phiếu của OCH tại các công ty: > Công ty Cổ phần Giáo dục Quốc tế Thần Đồng\( ^{(1)} \),Công ty Cổ phần Giáo dục Quốc tế Thần Đồng\( ^{(1)} \),7.000.000,7000000.0
Công ty Cổ phần Bình Dương Xanh\( ^{(2)} \),Cảm cổ cổ phiếu của OCH tại các công ty: > Công ty Cổ phần Bình Dương Xanh\( ^{(2)} \),Công ty Cổ phần Bình Dương Xanh\( ^{(2)} \),8.000.000,8000000.0
Ngân hàng TMCP Quốc Dân\( ^{(3)} \),Cảm cổ cổ phiếu của OCH tại các công ty: > Ngân hàng TMCP Quốc Dân\( ^{(3)} \),Ngân hàng TMCP Quốc Dân\( ^{(3)} \),32.000.000,32000000.0
Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(4)} \),Cảm cổ cổ phiếu của OCH tại các công ty: > Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(4)} \),Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(4)} \),10.695.652,10695652.0
Ngân hàng TM TNHH MTV Đại Dương\( ^{(5)} \),Cảm cổ cổ phiếu của OCH tại các công ty: > Ngân hàng TM TNHH MTV Đại Dương\( ^{(5)} \),Ngân hàng TM TNHH MTV Đại Dương\( ^{(5)} \),8.000.000,8000000.0
Công ty Tài chính Cổ phần Điện lực\( ^{(6)} \),Cảm cổ cổ phiếu của OCH tại các công ty: > Công ty Tài chính Cổ phần Điện lực\( ^{(6)} \),Công ty Tài chính Cổ phần Điện lực\( ^{(6)} \),50.000,50000.0
Tổng:,Cảm cổ cổ phiếu của OCH tại các công ty: > Tổng:,Tổng:,65.745.652,65745652.0
Nhận cảm cổ phiếu của OCH từ công ty:,Nhận cảm cổ phiếu của OCH từ công ty:,Nhận cảm cổ phiếu của OCH từ công ty:,,
Công ty Cổ phần Thương mại và Đầu tư Mạnh Hà\( ^{(7)} \),Nhận cảm cổ phiếu của OCH từ công ty: > Công ty Cổ phần Thương mại và Đầu tư Mạnh Hà\( ^{(7)} \),Công ty Cổ phần Thương mại và Đầu tư Mạnh Hà\( ^{(7)} \),6.695.652,6695652.0
Tổng:,Nhận cảm cổ phiếu của OCH từ công ty: > Tổng:,Tổng:,6.695.652,6695652.0
