row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,Tài sân vôhình khácTriệu VND,TổngTriệu VND,numeric__Quyềnsử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__Tài sân vôhình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,370.841,497.688,878,869.407,370841.0,497688.0,878.0,869407.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,479,24.053,-,24.532,479.0,24053.0,,24532.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(24.926),-,-,(24.926),-24926.0,,,-24926.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,346.394,521.741,878,869.013,346394.0,521741.0,878.0,869013.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.266,337.594,878,346.738,8266.0,337594.0,878.0,346738.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.101,38.527,-,40.628,2101.0,38527.0,,40628.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.367,376.121,878,387.366,10367.0,376121.0,878.0,387366.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,362.575,160.094,-,522.669,362575.0,160094.0,,522669.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,336.027,145.620,-,481.647,336027.0,145620.0,,481647.0
