row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại ngày 31 tháng 12 năm 2020(Triệu VND)","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > EUR","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > USD","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Vàng được quy đổi","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Các ngoại tệ khácđược quy đổi","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > EUR","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > USD","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Vàng được quy đổi","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Các ngoại tệ khácđược quy đổi","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng"
Tải sản,Tải sản,Tải sản,,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,389.308,118.784,26.311,602.790,1.137.193,389308.0,118784.0,26311.0,602790.0,1137193.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,225.934,-,-,225.934,,225934.0,,,225934.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,38.854,8.464.053,-,428.108,8.931.015,38854.0,8464053.0,,428108.0,8931015.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.260,4.473.272,-,-,4.475.532,2260.0,4473272.0,,,4475532.0
Tải sản Có khác - gộp,Tải sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,22.076,6.973.994,-,8.082,7.004.152,22076.0,6973994.0,,8082.0,7004152.0
,,,452.498,20.256.037,26.311,1.038.980,21.773.826,452498.0,20256037.0,26311.0,1038980.0,21773826.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
"Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Nợ phải trả > Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác",21.864,31.210.428,-,8.022,31.240.314,21864.0,31210428.0,,8022.0,31240314.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,183.225,3.163.957,-,337.852,3.685.034,183225.0,3163957.0,,337852.0,3685034.0
Công cụ phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ phải sinh và các khoản nợ tài chính khác,Công cụ phải sinh và các khoản nợ tài chính khác,385.054,(22.976.731),-,697.646,(21.894.031),385054.0,-22976731.0,,697646.0,-21894031.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,6.906.025,-,-,6.906.025,,6906025.0,,,6906025.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,5.979,644.033,-,2.460,652.472,5979.0,644033.0,,2460.0,652472.0
,,,596.122,18.947.712,-,1.045.980,20.589.814,596122.0,18947712.0,,1045980.0,20589814.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(143.624),1.308.325,26.311,(7.000),1.184.012,-143624.0,1308325.0,26311.0,-7000.0,1184012.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,118.368,(4.807.062),-,-,(4.688.694),118368.0,-4807062.0,,,-4688694.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(25.256),(3.498.737),26.311,(7.000),(3.504.682),-25256.0,-3498737.0,26311.0,-7000.0,-3504682.0
