row_label_raw,row_label_full,col_0,Tại ngày 1.1.2020 VND,Tăng VND,Giảm VND,Đánh giá lại VND,Tại ngày 31.12.2020 VND,numeric__Tại ngày 1.1.2020 VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Đánh giá lại VND,numeric__Tại ngày 31.12.2020 VND
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),3.129.100.142.217,-,(64.622.680.000),(4.582.042.361),3.059.895.419.856,3129100142217.0,,-64622680000.0,-4582042361.0,3059895419856.0
Trải phiếu thường (ii),Trải phiếu thường (ii),Trải phiếu thường (ii),600.000.000.000,310.700.000.000,-,-,910.700.000.000,600000000000.0,310700000000.0,,,910700000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,(67.227.620.000),(2.622.989.083.545),64.622.680.000,2.039.113.545,(2.623.554.910.000),-67227620000.0,-2622989083545.0,64622680000.0,2039113545.0,-2623554910000.0
,,,3.661.872.522.217,(2.312.289.083.545),-,(2.542.928.816),1.347.040.509.856,3661872522217.0,-2312289083545.0,,-2542928816.0,1347040509856.0
(i) Vay ngân hàng,(i) Vay ngân hàng,(i) Vay ngân hàng,(i) Vay ngân hàng,(i) Vay ngân hàng,(i) Vay ngân hàng,(i) Vay ngân hàng,(i) Vay ngân hàng,,,,,
Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Loại tiền,Thời gian đáo hạn,,2020 VND,2019 VND,,,,,
Woori Bank - Singapore Branch (*),Bên cho vay > Woori Bank - Singapore Branch (*),Woori Bank - Singapore Branch (*),USD,Tháng 11 năm 2021,,1.044.675.000.000,1.045.350.000.000,,,,1044675000000.0,1045350000000.0
Industrial and Commercial Bank of China Limited - Hong Kong Branch (*),Bên cho vay > Industrial and Commercial Bank of China Limited - Hong Kong Branch (*),Industrial and Commercial Bank of China Limited - Hong Kong Branch (*),USD,Tháng 11 năm 2021,,1.044.675.000.000,1.045.350.000.000,,,,1044675000000.0,1045350000000.0
KEB Hana Bank - Hong Kong Branch (*),Bên cho vay > KEB Hana Bank - Hong Kong Branch (*),KEB Hana Bank - Hong Kong Branch (*),USD,Tháng 11 năm 2021,,464.300.000.000,464.600.000.000,,,,464300000000.0,464600000000.0
Ngân hàng TMCP Quân đội (**),Bên cho vay > Ngân hàng TMCP Quân đội (**),Ngân hàng TMCP Quân đội (**),USD,Tháng 6 năm 2028,,506.245.419.856,573.800.142.217,,,,506245419856.0,573800142217.0
,,,,,,3.059.895.419.856,3.129.100.142.217,,,,3059895419856.0,3129100142217.0
