row_label_raw,row_label_full,col_0,Hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu và tỷ lệ biểu quyết (%),Tỷ lệ sở hữu và tỷ lệ biểu quyết (%)_1,numeric__Hoạt động chính,numeric__Giấy chứng nhận đăng ký doanh nghiệp,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tỷ lệ sở hữu và tỷ lệ biểu quyết (%),numeric__Tỷ lệ sở hữu và tỷ lệ biểu quyết (%)_1
,,,Hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",2020,2019,,,,2020.0,2019.0
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,
Công ty Cổ phần VietjetAir Cargo,Công ty con sở hữu trực tiếp > Công ty Cổ phần VietjetAir Cargo,Công ty Cổ phần VietjetAir Cargo,Cung cấp dịch vụ vận chuyển hàng hóa và các dịch vụ hỗ trợ liên quan,Số 0312759089 ngày 27 tháng 8 năm 2014,Việt Nam,90,90,,,,90.0,90.0
Vietjet Air IVB No. I Limited,Công ty con sở hữu trực tiếp > Vietjet Air IVB No. I Limited,Vietjet Air IVB No. I Limited,Kinh doanh và cho thuê tàu bay và các bộ phận tàu bay,Số 1825671 ngày 27 tháng 5 năm 2014,British Virgin Islands,100,100,,,,100.0,100.0
Vietjet Air IVB No. II Limited,Công ty con sở hữu trực tiếp > Vietjet Air IVB No. II Limited,Vietjet Air IVB No. II Limited,Kinh doanh và cho thuê tàu bay,Số 1825613 ngày 27 tháng 5 năm 2014,British Virgin Islands,100,100,,,,100.0,100.0
Vietjet Air Singapore Pte. Ltd,Công ty con sở hữu trực tiếp > Vietjet Air Singapore Pte. Ltd,Vietjet Air Singapore Pte. Ltd,Kinh doanh tàu bay,Số 201408849N ngày 27 tháng 3 năm 2014,Singapore,100,100,,,,100.0,100.0
Vietjet Air Ireland No. 1 Limited,Công ty con sở hữu trực tiếp > Vietjet Air Ireland No. 1 Limited,Vietjet Air Ireland No. 1 Limited,Kinh doanh và cho thuê tàu bay,Số 544879 ngày 3 tháng 6 năm 2014,Ireland,100,100,,,,100.0,100.0
Công ty TNHH Galaxy Pay,Công ty con sở hữu trực tiếp > Công ty TNHH Galaxy Pay,Công ty TNHH Galaxy Pay,"Cung cấp dịch vụ thanh toán (thanh toán trực tuyến, ví điện tử)",Số 0316368255 ngày 7 tháng 7 năm 2020,Việt Nam,100,-,,,,100.0,
Công ty con sở hữu giản tiếp,Công ty con sở hữu giản tiếp,Công ty con sở hữu giản tiếp,Công ty con sở hữu giản tiếp,Công ty con sở hữu giản tiếp,Công ty con sở hữu giản tiếp,Công ty con sở hữu giản tiếp,Công ty con sở hữu giản tiếp,,,,,
Skymate Limited,Công ty con sở hữu giản tiếp > Skymate Limited,Skymate Limited,Kinh doanh và cho thuê tàu bay,Số 327015 ngày 15 tháng 9 năm 2017,Cayman Islands,100,100,,,,100.0,100.0
"Công ty liên kết Thai Vietjet Air Joint Stock Co., Ltd (*)","Công ty con sở hữu giản tiếp > Công ty liên kết Thai Vietjet Air Joint Stock Co., Ltd (*)","Công ty liên kết Thai Vietjet Air Joint Stock Co., Ltd (*)",Cung cấp dịch vụ vận chuyển hàng hóa và hành khách và các dịch vụ liên quan,Số 0105556100551 ngày 25 tháng 6 năm 2013,Thái Lan,9,9,,,,9.0,9.0
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (*),Công ty con sở hữu giản tiếp > Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (*),Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (*),Cung cấp các dịch vụ hỗ trợ trực tiếp cho ngành vận chuyển hàng không,Số 4201676638 ngày 5 tháng 2 năm 2016,Việt Nam,10,10,,,,10.0,10.0
