row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,779.733.563.086,793.464.354.495,5.0,779733563086.0,793464354495.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,6.965.365.039.785,3.225.386.957.711,6.0,6965365039785.0,3225386957711.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,,33.900.216.479.510,20.636.255.208.899,,33900216479510.0,20636255208899.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,32.303.914.945.061,18.426.225.031.606,71.0,32303914945061.0,18426225031606.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,1.596.301.534.449,2.210.030.177.293,72.0,1596301534449.0,2210030177293.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,-,142.837.500.000,8.0,,142837500000.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,142.837.500.000,,,142837500000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,41.473.565.365,360.044.007.067,9.0,41473565365.0,360044007067.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,144.704.316.896.607,118.220.309.912.203,,144704316896607.0,118220309912203.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,147.206.466.215.571,119.802.569.762.625,10.0,147206466215571.0,119802569762625.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(2.502.149.318.964),(1.582.259.850.422),11.0,-2502149318964.0,-1582259850422.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,546.768.250.000,661.997.500,12.0,546768250000.0,661997500.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,550.900.000.000,667.000.000,,550900000000.0,667000000.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(4.131.750.000),(5.002.500),,-4131750000.0,-5002500.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,40.291.755.021.791,37.333.104.826.049,13.0,40291755021791.0,37333104826049.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,40.331.397.720.516,37.367.365.873.931,,40331397720516.0,37367365873931.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(39.642.698.725),(34.261.047.882),,-39642698725.0,-34261047882.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,14,554.565.039.650,583.606.445.091,14.0,554565039650.0,583606445091.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14.1,269.540.873.296,278.874.747.262,141.0,269540873296.0,278874747262.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,783.657.134.113,739.580.060.425,,783657134113.0,739580060425.0
Khấu hao tài sản cố định,TÀI SẢN > Khấu hao tài sản cố định,Khấu hao tài sản cố định,,(514.116.260.817),(460.705.313.163),,-514116260817.0,-460705313163.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14.2,285.024.166.354,304.731.697.829,142.0,285024166354.0,304731697829.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,581.433.546.142,555.866.230.889,,581433546142.0,555866230889.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(296.409.379.788),(251.134.533.060),,-296409379788.0,-251134533060.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15,12.330.080.871.665,12.698.566.641.677,15.0,12330080871665.0,12698566641677.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,"15.1, 15.2",7.866.786.309.830,7.370.512.044.658,,7866786309830.0,7370512044658.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",15.3,2.528.258.177.998,1.936.731.434.792,153.0,2528258177998.0,1936731434792.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15.4,1.939.836.383.837,3.396.123.162.227,154.0,1939836383837.0,3396123162227.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,15.5,(4.800.000.000),(4.800.000.000),155.0,-4800000000.0,-4800000000.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,240.114.274.727.459,193.994.237.850.692,,240114274727459.0,193994237850692.0
