row_label_raw,row_label_full,Ngày 01/01/2017 > Giá trị ghi sổ:,Dưới 1 năm > Ngày 01/01/2017 > Giá trị ghi sổ:,Từ 1 năm trở lên > Ngày 01/01/2017 > Giá trị ghi sổ:,Tổng cộng > Ngày 01/01/2017 > Giá trị ghi sổ:,numeric__Dưới 1 năm > Ngày 01/01/2017 > Giá trị ghi sổ:,numeric__Từ 1 năm trở lên > Ngày 01/01/2017 > Giá trị ghi sổ:,numeric__Tổng cộng > Ngày 01/01/2017 > Giá trị ghi sổ:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,350.352.719.847,-,350.352.719.847,350352719847.0,,350352719847.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,1.832.575.830.816,-,1.832.575.830.816,1832575830816.0,,1832575830816.0
Đầu tư,Đầu tư,Đầu tư,-,985.091.726.279,985.091.726.279,,985091726279.0,985091726279.0
Phải thu khác,Phải thu khác,Phải thu khác,138.907.493.031,7.654.741.378,146.562.234.409,138907493031.0,7654741378.0,146562234409.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(5.229.046.910),-,(5.229.046.910),-5229046910.0,,-5229046910.0
Dự phòng giảm giá các khoản đầu tư,Trừ: > Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,(187.618.800.283),(187.618.800.283),,-187618800283.0,-187618800283.0
Tổng cộng,Trừ: > Tổng cộng,Tổng cộng,2.316.606.996.784,805.127.667.374,3.121.734.664.158,2316606996784.0,805127667374.0,3121734664158.0
Ngày 01/01/2017,Ngày 01/01/2017,Ngày 01/01/2017,Ngày 01/01/2017,Ngày 01/01/2017,Ngày 01/01/2017,,,
Các khoản vay và nợ,Ngày 01/01/2017 > Các khoản vay và nợ,Các khoản vay và nợ,2.575.736.674.483,14.798.271.511.739,17.374.008.186.222,2575736674483.0,14798271511739.0,17374008186222.0
Phải trả người bán,Ngày 01/01/2017 > Phải trả người bán,Phải trả người bán,1.648.288.783.056,626.944.266.919,2.275.233.049.975,1648288783056.0,626944266919.0,2275233049975.0
"Phải trả, PN khác và chi phí phải trả","Ngày 01/01/2017 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",428.814.700.100,-,428.814.700.100,428814700100.0,,428814700100.0
Tổng cộng,Ngày 01/01/2017 > Tổng cộng,Tổng cộng,4.652.839.157.639,15.425.215.778.658,20.078.054.936.297,4652839157639.0,15425215778658.0,20078054936297.0
Chênh lệch thanh khoản thuần,Ngày 01/01/2017 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(2.336.232.160.855),(14.620.088.111.284),(16.956.320.272.139),-2336232160855.0,-14620088111284.0,-16956320272139.0
