row_label_raw,row_label_full,Tên Công ty,Trụ sở chính,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Hoạt động chính
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,,,,
Công ty CP Giống Cây Trồng Nông Tín,Công ty con cấp 2 > Công ty CP Giống Cây Trồng Nông Tín,Công ty CP Giống Cây Trồng Nông Tín,Hồ Chí Minh,"44,03%","77,67%","Sản xuất, kinh doanh giống cây trồng",,0.4403,0.7767000000000001,
Công ty CP Westfood Hậu Giang,Công ty con cấp 2 > Công ty CP Westfood Hậu Giang,Công ty CP Westfood Hậu Giang,Hậu Giang,"55,08%",100%,Chế biến nông sản,,0.5508,1.0,
"Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế","Công ty con cấp 2 > Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế","Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế",Lào,"38,05%","51,00%",Giới thiệu thuốc,,0.38049999999999995,0.51,
Công ty TNHH MTV Dược phẩm Mêkông,Công ty con cấp 2 > Công ty TNHH MTV Dược phẩm Mêkông,Công ty TNHH MTV Dược phẩm Mêkông,Vĩnh Long,"74,61%","100,00%","Kinh doanh dược phẩm, thiết bị y tế",,0.7461,1.0,
Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Công ty con cấp 2 > Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Hồ Chí Minh,"74,61%","100,00%",Kinh doanh dược phẩm và dụng cụ y tế,,0.7461,1.0,
Công ty CP Dược phẩm Benovas,Công ty con cấp 2 > Công ty CP Dược phẩm Benovas,Công ty CP Dược phẩm Benovas,Hồ Chí Minh,"70,88%","95,00%","Kinh doanh dược phẩm, trang thiết bị y tế",,0.7088,0.95,
Công ty CP Thiết bị Y tế Benovas,Công ty con cấp 2 > Công ty CP Thiết bị Y tế Benovas,Công ty CP Thiết bị Y tế Benovas,Vĩnh Long,"73,86%","99,00%","Sản xuất và kinh doanh dụng cụ, trang thiết bị y tế",,0.7386,0.99,
Công ty CP Thuốc Ung Thư Benovas,Công ty con cấp 2 > Công ty CP Thuốc Ung Thư Benovas,Công ty CP Thuốc Ung Thư Benovas,Hà Nội,"41,04%","55,00%","Sản xuất thuốc, hóa dược và dược liệu...",,0.4104,0.55,
Công ty CP Dược Phẩm Euvipharm,Công ty con cấp 2 > Công ty CP Dược Phẩm Euvipharm,Công ty CP Dược Phẩm Euvipharm,Long An,"67,15%","90,00%","Sản xuất thuốc, hóa dược và dược liệu...",,0.6715000000000001,0.9,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty CP FIT Cosmetics,Công ty liên kết > Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Hồ Chí Minh,"27,97%","49,08%",Phân phối ngành hàng hóa mỹ phẩm,,0.2797,0.49079999999999996,
Công ty CP Nước khoáng Khánh Hòa - FIT Beverage,Công ty liên kết > Công ty CP Nước khoáng Khánh Hòa - FIT Beverage,Công ty CP Nước khoáng Khánh Hòa - FIT Beverage,Khánh Hòa,"27,93%","49,00%",Sản xuất nước khoáng và các sản phẩm từ nước khoáng,,0.2793,0.49,
Công ty CP Chứng khoán Đại Nam,Công ty liên kết > Công ty CP Chứng khoán Đại Nam,Công ty CP Chứng khoán Đại Nam,Hà Nội,"24,89%","24,89%",Cung cấp dịch vụ tài chính,,0.2489,0.2489,
