row_label_raw,row_label_full,Tên công ty,31/12/2022 > Giá gốc VND,31/12/2022 > Giá trị hợp lý VND,31/12/2022 > Dự phòng VND,1/1/2022 > Giá gốc VND,1/1/2022 > Giá trị hợp lý VND,1/1/2022 > Dự phòng VND,numeric__31/12/2022 > Giá gốc VND,numeric__31/12/2022 > Giá trị hợp lý VND,numeric__31/12/2022 > Dự phòng VND,numeric__1/1/2022 > Giá gốc VND,numeric__1/1/2022 > Giá trị hợp lý VND,numeric__1/1/2022 > Dự phòng VND
Ngân hàng Thương mại Cổ phần Đông Á,Ngân hàng Thương mại Cổ phần Đông Á,Ngân hàng Thương mại Cổ phần Đông Á,136.265.460.000,(*),(136.265.460.000),136.265.460.000,(*),(136.265.460.000),136265460000.0,,-136265460000.0,136265460000.0,,-136265460000.0
Công ty Cổ phần Tập đoàn Bao Bì Sài Gòn,Công ty Cổ phần Tập đoàn Bao Bì Sài Gòn,Công ty Cổ phần Tập đoàn Bao Bì Sài Gòn,50.000.000.000,(*),-,50.000.000.000,(*),-,50000000000.0,,,50000000000.0,,
Công ty Cổ phần PVI,Công ty Cổ phần PVI,Công ty Cổ phần PVI,51.475.140.000,23.304.672.000,(28.170.468.000),51.475.140.000,23.741.634.600,(27.733.505.400),51475140000.0,23304672000.0,-28170468000.0,51475140000.0,23741634600.0,-27733505400.0
Công ty Cổ phần Đầu tư - Phát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư - Phát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư - Phát triển Không Gian Ngầm,23.085.000.000,(*),(23.085.000.000),23.085.000.000,(*),(23.085.000.000),23085000000.0,,-23085000000.0,23085000000.0,,-23085000000.0
Công ty Cổ phần Du lịch Dầu khí Phương Đông,Công ty Cổ phần Du lịch Dầu khí Phương Đông,Công ty Cổ phần Du lịch Dầu khí Phương Đông,30.700.950.000,6.721.909.091,(30.700.950.000),30.700.950.000,10.584.000.000,(30.700.950.000),30700950000.0,6721909091.0,-30700950000.0,30700950000.0,10584000000.0,-30700950000.0
Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,35.757.720.722,(*),(35.757.720.722),35.757.720.722,(*),(35.757.720.722),35757720722.0,,-35757720722.0,35757720722.0,,-35757720722.0
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,26.588.267.394,(*),-,26.588.267.394,(*),-,26588267394.0,,,26588267394.0,,
"Công ty Cổ phần Cồn, Rượu Bình Tây - Việt Nam","Công ty Cổ phần Cồn, Rượu Bình Tây - Việt Nam","Công ty Cổ phần Cồn, Rượu Bình Tây - Việt Nam",300.000.000,(*),(300.000.000),300.000.000,(*),(300.000.000),300000000.0,,-300000000.0,300000000.0,,-300000000.0
Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,1.161.147.000,(*),(1.161.147.000),1.161.147.000,(*),(1.161.147.000),1161147000.0,,-1161147000.0,1161147000.0,,-1161147000.0
Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,45.000.000.000,(*),(45.000.000.000),45.000.000.000,(*),(45.000.000.000),45000000000.0,,-45000000000.0,45000000000.0,,-45000000000.0
Công ty TNHH Đầu tư Sabeco HP,Công ty TNHH Đầu tư Sabeco HP,Công ty TNHH Đầu tư Sabeco HP,24.426.586.800,(*),(24.426.586.800),24.426.586.800,(*),(24.426.586.800),24426586800.0,,-24426586800.0,24426586800.0,,-24426586800.0
Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,3.954.000.000,(*),(3.954.000.000),3.954.000.000,(*),(3.954.000.000),3954000000.0,,-3954000000.0,3954000000.0,,-3954000000.0
Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,5.600.000.000,(*),(5.600.000.000),5.600.000.000,(*),(5.600.000.000),5600000000.0,,-5600000000.0,5600000000.0,,-5600000000.0
,,,434.314.271.916,,(334.421.332.522),434.314.271.916,,(333.984.369.922),434314271916.0,,-334421332522.0,434314271916.0,,-333984369922.0
