row_label_raw,row_label_full,col_0,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Hoạt động y tế và các dịch vụ liên quan,Hoạt động giáo dục và các dịch vụ liên quan,Kinh doanh bán lẻ,Hoạt động sản xuất và các dịch vụ liên quan,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh chuyển nhượng bất động sản,numeric__Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Hoạt động y tế và các dịch vụ liên quan,numeric__Hoạt động giáo dục và các dịch vụ liên quan,numeric__Kinh doanh bán lẻ,numeric__Hoạt động sản xuất và các dịch vụ liên quan,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,64.504.850,6.791.611,8.548.983,3.025.286,2.063.081,29.702.243,9.201.038,6.198.922,-,130.036.014,64504850.0,6791611.0,8548983.0,3025286.0,2063081.0,29702243.0,9201038.0,6198922.0,,130036014.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,1.953.489,293.748,56.185,-,2.183.218,155.617,2.757.081,(7.399.338),-,,1953489.0,293748.0,56185.0,,2183218.0,155617.0,2757081.0,-7399338.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,64.504.850,8.745.100,8.842.731,3.081.471,2.063.081,31.885.461,9.356.655,8.956.003,(7.399.338),130.036.014,64504850.0,8745100.0,8842731.0,3081471.0,2063081.0,31885461.0,9356655.0,8956003.0,-7399338.0,130036014.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,
Khấu hao và hao mòn (bao gồm lợi thế thương mại),Kết quả hoạt động kinh doanh > Khấu hao và hao mòn (bao gồm lợi thế thương mại),Khấu hao và hao mòn (bao gồm lợi thế thương mại),514.567,1.624.570,1.970.875,662.694,145.688,826.945,2.307.626,284.715,-,8.337.680,514567.0,1624570.0,1970875.0,662694.0,145688.0,826945.0,2307626.0,284715.0,,8337680.0
Phần được chia tử lãi/(lỗ) của công ty liên kết và liên doanh,Kết quả hoạt động kinh doanh > Phần được chia tử lãi/(lỗ) của công ty liên kết và liên doanh,Phần được chia tử lãi/(lỗ) của công ty liên kết và liên doanh,-,-,(758.983),-,-,391,(12.023),82.172,-,(688.443),,,-758983.0,,,391.0,-12023.0,82172.0,,-688443.0
Thu nhập/(lỗ) trước thuế theo bộ phận,Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,28.666.021,3.442.811,(3.347.855),(1.428.777),(217.194),(6.097.969),(9.913.086),(1.159.409),(7.655),9.936.887,28666021.0,3442811.0,-3347855.0,-1428777.0,-217194.0,-6097969.0,-9913086.0,-1159409.0,-7655.0,9936887.0
Thu nhập thuần không phân bổ,Kết quả hoạt động kinh doanh > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,,5.700.537,,,,,,,,,,5700537.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
