row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư tại 01/01/2022,Số dư tại 01/01/2022,Số dư tại 01/01/2022,2.627.302.470.000,70.045.649.714,886.852.413,407.719.325.167,3.105.954.297.294,2627302470000.0,70045649714.0,886852413.0,407719325167.0,3105954297294.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,262.723.930.000,-,-,(262.723.930.000),-,262723930000.0,,,-262723930000.0,
Phát hành cổ phiếu thu bằng tiền,Phát hành cổ phiếu thu bằng tiền,Phát hành cổ phiếu thu bằng tiền,509.303.940.000,(365.532.556),-,-,508.938.407.444,509303940000.0,-365532556.0,,,508938407444.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,21.885.397.170,21.885.397.170,,,,21885397170.0,21885397170.0
Số dư tại 31/12/2022,Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.399.330.340.000,69.680.117.158,886.852.413,166.880.792.337,3.636.778.101.908,3399330340000.0,69680117158.0,886852413.0,166880792337.0,3636778101908.0
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,3.399.330.340.000,69.680.117.158,886.852.413,166.880.792.337,3.636.778.101.908,3399330340000.0,69680117158.0,886852413.0,166880792337.0,3636778101908.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,(80.484.493.786),(80.484.493.786),,,,-80484493786.0,-80484493786.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,3.399.330.340.000,69.680.117.158,886.852.413,86.396.298.551,3.556.293.608.122,3399330340000.0,69680117158.0,886852413.0,86396298551.0,3556293608122.0
