row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,429.642.401.487,263.189.705.140,,300.0,,429642401487.0,263189705140.0
I.,I.,I.,Nợ ngắn hạn,310,,429.642.401.487,263.189.705.140,,310.0,,429642401487.0,263189705140.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,,-,44.854.941,,311.0,,,44854941.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,237.985.301,233.886.852,,312.0,,237985301.0,233886852.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.8,582.396.690,6.250.036.566,,313.0,,582396690.0,6250036566.0
4.,4.,4.,Phải trả người lao động,314,,1.299.742.169,2.068.978.616,,314.0,,1299742169.0,2068978616.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.9,1.935.760.920,1.651.033.186,,315.0,,1935760920.0,1651033186.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,,105.965.942,113.332.568,,318.0,,105965942.0,113332568.0
9.,9.,9.,Phải trả ngắn hạn khác,319,V.10,715.125.401,719.840.894,,319.0,,715125401.0,719840894.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.11,419.991.341.072,247.286.263.515,,320.0,,419991341072.0,247286263515.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,,4.774.083.992,4.821.478.002,,322.0,,4774083992.0,4821478002.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,-,-,,330.0,,,
1.,1.,1.,Phải trả người bán dài hạn,331,,-,-,,331.0,,,
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chi phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,,-,-,,336.0,,,
7.,7.,7.,Phải trả dài hạn khác,337,,-,-,,337.0,,,
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,,-,-,,338.0,,,
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
