row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Triệu VND,Trong hạn > Không chịu lãi suất > Triệu VND,Trong hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ 01 đến 03 tháng > Triệu VND,Trong hạn > Từ 03 đến 06 tháng > Triệu VND,Trong hạn > Từ 06 đến 12 tháng > Triệu VND,Trong hạn > Từ 01 đến 05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng cộng > Triệu VND,numeric__Quá hạn > Triệu VND,numeric__Trong hạn > Không chịu lãi suất > Triệu VND,numeric__Trong hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ 01 đến 03 tháng > Triệu VND,numeric__Trong hạn > Từ 03 đến 06 tháng > Triệu VND,numeric__Trong hạn > Từ 06 đến 12 tháng > Triệu VND,numeric__Trong hạn > Từ 01 đến 05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng cộng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.135.895,-,-,-,-,-,-,2.135.895,,2135895.0,,,,,,,2135895.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.358.545,-,-,-,-,-,6.358.545,,,6358545.0,,,,,,6358545.0
Tiền gửi tại các TCTD khác,Tài sản > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,-,-,38.725.468,3.622.840,-,-,-,-,42.348.308,,,38725468.0,3622840.0,,,,,42348308.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,127.140,978,(33),(85),(169),2.097,-,129.928,,127140.0,978.0,-33.0,-85.0,-169.0,2097.0,,129928.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),7.464.359,-,22.952.351,59.162.099,44.121.552,22.101.254,28.183.998,230.250,184.215.863,7464359.0,,22952351.0,59162099.0,44121552.0,22101254.0,28183998.0,230250.0,184215863.0
Mua nợ (*),Tài sản > Mua nợ (*),Mua nợ (*),-,-,3.081.703,-,2.871.671,3.000.000,1.670.000,-,10.623.374,,,3081703.0,,2871671.0,3000000.0,1670000.0,,10623374.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,212.868,628.629,813.136,3.500.000,2.500.024,1.352.687,13.946.336,22.953.680,,212868.0,628629.0,813136.0,3500000.0,2500024.0,1352687.0,13946336.0,22953680.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,300.000,-,-,-,-,-,-,300.000,,300000.0,,,,,,,300000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.827.720,-,-,-,-,-,-,3.827.720,,3827720.0,,,,,,,3827720.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),465.847,3.195.686,-,-,-,-,-,-,3.661.533,465847.0,3195686.0,,,,,,,3661533.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,7.930.206,9.799.309,71.747.674,63.598.042,50.493.138,27.601.109,31.208.782,14.176.586,276.554.846,7930206.0,9799309.0,71747674.0,63598042.0,50493138.0,27601109.0,31208782.0,14176586.0,276554846.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
"Các khoản nợ Chính phủ, NHNN","Nợ phải trả > Các khoản nợ Chính phủ, NHNN","Các khoản nợ Chính phủ, NHNN",-,-,1.000.051,3.379.325,9.874,-,-,-,4.389.250,,,1000051.0,3379325.0,9874.0,,,,4389250.0
