row_label_raw,row_label_full,Bên liên quan (Thuyết minh số 31),Số cuối năm VND > 4.266.768.447,Số đầu năm VND > 3.751.589.081,numeric__Số cuối năm VND > 4.266.768.447,numeric__Số đầu năm VND > 3.751.589.081
Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,819.180.361.099,1.254.113.361.449,819180361099.0,1254113361449.0
Công ty Cổ phần Thiết bị và Công nghệ VTG,Công ty Cổ phần Thiết bị và Công nghệ VTG,Công ty Cổ phần Thiết bị và Công nghệ VTG,97.915.490.267,42.798.180.342,97915490267.0,42798180342.0
New Asia Wave International Pte.Ltd,New Asia Wave International Pte.Ltd,New Asia Wave International Pte.Ltd,71.514.577.275,297.889.453.143,71514577275.0,297889453143.0
Tổng Công ty Xây dựng Công trình Hàng không ACC,Tổng Công ty Xây dựng Công trình Hàng không ACC,Tổng Công ty Xây dựng Công trình Hàng không ACC,59.519.024.314,167.835.745.290,59519024314.0,167835745290.0
Công ty Cổ phần Xây dựng Số 9,Công ty Cổ phần Xây dựng Số 9,Công ty Cổ phần Xây dựng Số 9,40.110.740.748,19.363.622.329,40110740748.0,19363622329.0
Công ty Cổ phần Công nghệ Tiên Phong,Công ty Cổ phần Công nghệ Tiên Phong,Công ty Cổ phần Công nghệ Tiên Phong,39.362.311.710,322.489.201,39362311710.0,322489201.0
Công ty TNHH Liên doanh xây dựng VIC,Công ty TNHH Liên doanh xây dựng VIC,Công ty TNHH Liên doanh xây dựng VIC,29.064.587.198,21.242.748.929,29064587198.0,21242748929.0
Công ty Cổ phần Thương mại Duy Anh,Công ty Cổ phần Thương mại Duy Anh,Công ty Cổ phần Thương mại Duy Anh,28.835.691.862,44.037.655.212,28835691862.0,44037655212.0
Công ty TNHH Phát triển Thương mại Hải Phương,Công ty TNHH Phát triển Thương mại Hải Phương,Công ty TNHH Phát triển Thương mại Hải Phương,24.530.022.000,-,24530022000.0,
Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,23.534.910.869,32.827.432.680,23534910869.0,32827432680.0
Công ty Cổ phần Tập đoàn Trí Nam,Công ty Cổ phần Tập đoàn Trí Nam,Công ty Cổ phần Tập đoàn Trí Nam,22.930.902.890,-,22930902890.0,
Công ty TNHH Autogrill VFS F&B,Công ty TNHH Autogrill VFS F&B,Công ty TNHH Autogrill VFS F&B,22.183.436.223,26.500.945.107,22183436223.0,26500945107.0
DFS Vietnam(s) Pte.Ltd,DFS Vietnam(s) Pte.Ltd,DFS Vietnam(s) Pte.Ltd,17.716.096.275,10.850.730.845,17716096275.0,10850730845.0
Công ty Cổ phần Đầu tư Xây lắp Dầu khí IMICO,Công ty Cổ phần Đầu tư Xây lắp Dầu khí IMICO,Công ty Cổ phần Đầu tư Xây lắp Dầu khí IMICO,16.955.945.425,22.721.629.341,16955945425.0,22721629341.0
Công ty Cổ phần Thăng Long,Công ty Cổ phần Thăng Long,Công ty Cổ phần Thăng Long,16.924.066.807,7.194.499.567,16924066807.0,7194499567.0
JRP International Pte Ltd - Singapore,JRP International Pte Ltd - Singapore,JRP International Pte Ltd - Singapore,14.434.094.515,14.434.094.515,14434094515.0,14434094515.0
Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,13.897.149.484,-,13897149484.0,
Công ty Cổ phần Dịch vụ và Kỹ thuật Cơ điện lạnh REE,Công ty Cổ phần Dịch vụ và Kỹ thuật Cơ điện lạnh REE,Công ty Cổ phần Dịch vụ và Kỹ thuật Cơ điện lạnh REE,12.919.861.740,29.405.483.367,12919861740.0,29405483367.0
Công ty Cổ phần Kết cấu thép ATAD,Công ty Cổ phần Kết cấu thép ATAD,Công ty Cổ phần Kết cấu thép ATAD,10.437.571.342,11.720.866.649,10437571342.0,11720866649.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,256.393.880.155,504.967.784.932,256393880155.0,504967784932.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,823.447.129.546,1.257.864.950.530,823447129546.0,1257864950530.0
