row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.499.971.900.000,(374.324.139),40.802.559.483,-,12.021.402.005,392.213.804.027,651.869.181.622,4.596.504.522.998,3499971900000.0,-374324139.0,40802559483.0,,12021402005.0,392213804027.0,651869181622.0,4596504522998.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,153.558.750.000,-,-,-,-,(153.558.750.000),-,-,153558750000.0,,,,,-153558750000.0,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,32.825.608.245,1.479.565.024,34.305.173.269,,,,,,32825608245.0,1479565024.0,34305173269.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(1.998.400.000),(1.600.000),(2.000.000.000),,,,,,-1998400000.0,-1600000.0,-2000000000.0
Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(2.509.750.000),(2.509.750.000),,,,,,,-2509750000.0,-2509750000.0
Tăng giảm khác,Tăng giảm khác,Tăng giảm khác,-,-,-,-,-,(871.346),-,(871.346),,,,,,-871346.0,,-871346.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.653.530.650.000,(374.324.139),40.802.559.483,-,12.021.402.005,269.481.390.926,650.837.396.646,4.626.299.074.921,3653530650000.0,-374324139.0,40802559483.0,,12021402005.0,269481390926.0,650837396646.0,4626299074921.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.799.609.710.000,(374.324.139),40.802.559.483,(2.390.573.714),12.021.402.005,66.526.987.762,687.173.291.403,4.603.369.052.800,3799609710000.0,-374324139.0,40802559483.0,-2390573714.0,12021402005.0,66526987762.0,687173291403.0,4603369052800.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,18.332.577.266,14.907.342.741,33.239.920.007,,,,,,18332577266.0,14907342741.0,33239920007.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(5.381.230.316),(401.912.500),(5.783.142.816),,,,,,-5381230316.0,-401912500.0,-5783142816.0
Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,Chi trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(11.749.750.000),(11.749.750.000),,,,,,,-11749750000.0,-11749750000.0
Hoàn nhập quỹ,Hoàn nhập quỹ,Hoàn nhập quỹ,-,-,(1.571.000.000),-,(3.286.612.248),4.857.612.248,-,-,,,-1571000000.0,,-3286612248.0,4857612248.0,,
Chênh lệch tỷ giá do chuyển đổi Báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi Báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi Báo cáo tài chính,-,-,-,(499.834.087),-,-,-,(499.834.087),,,,-499834087.0,,,,-499834087.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(189.441.616),(12.310.558.384),(12.500.000.000),,,,,,-189441616.0,-12310558384.0,-12500000000.0
Tăng giảm khác,Tăng giảm khác,Tăng giảm khác,-,-,-,-,(5.900.000),,(2.100.000),(8.000.000),,,,,-5900000.0,,-2100000.0,-8000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.799.609.710.000,(374.324.139),39.231.559.483,(2.890.407.801),8.728.889.757,84.146.505.344,677.616.313.260,4.606.068.245.904,3799609710000.0,-374324139.0,39231559483.0,-2890407801.0,8728889757.0,84146505344.0,677616313260.0,4606068245904.0
