row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
Tổng Công ty Xây dựng Công trìnhHàng không ACC,Tổng Công ty Xây dựng Công trìnhHàng không ACC,Tổng Công ty Xây dựng Công trìnhHàng không ACC,287.684.293.504,209.708.460.699,287684293504.0,209708460699.0
Công ty Cổ phần Tập đoàn CIENCO4,Công ty Cổ phần Tập đoàn CIENCO4,Công ty Cổ phần Tập đoàn CIENCO4,153.609.291.003,-,153609291003.0,
Bộ Tư lệnh Quân chủng Phòng không -Không quân,Bộ Tư lệnh Quân chủng Phòng không -Không quân,Bộ Tư lệnh Quân chủng Phòng không -Không quân,107.790.050.000,100.578.685.000,107790050000.0,100578685000.0
Công ty Cổ phần Thiết bị và Công nghệVTG,Công ty Cổ phần Thiết bị và Công nghệVTG,Công ty Cổ phần Thiết bị và Công nghệVTG,106.237.910.318,-,106237910318.0,
Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,94.429.325.163,92.555.830.786,94429325163.0,92555830786.0
Công ty TNHH Phát triển công nghệBTK,Công ty TNHH Phát triển công nghệBTK,Công ty TNHH Phát triển công nghệBTK,84.201.172.871,84.201.172.871,84201172871.0,84201172871.0
Công ty Cổ phần Kỹ thuật Công nghệViệt Toàn Cầu,Công ty Cổ phần Kỹ thuật Công nghệViệt Toàn Cầu,Công ty Cổ phần Kỹ thuật Công nghệViệt Toàn Cầu,55.741.664.034,-,55741664034.0,
Công ty Cổ phần Công trình và Thươngmại Giao thông vận tải,Công ty Cổ phần Công trình và Thươngmại Giao thông vận tải,Công ty Cổ phần Công trình và Thươngmại Giao thông vận tải,48.002.944.880,48.002.944.880,48002944880.0,48002944880.0
Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,40.169.415.886,4.064.901.368,40169415886.0,4064901368.0
Công ty Cổ phần xây dựng số 9,Công ty Cổ phần xây dựng số 9,Công ty Cổ phần xây dựng số 9,36.173.303.174,-,36173303174.0,
Công ty Cổ phần Đầu tư Phát triểnCông nghệ AT,Công ty Cổ phần Đầu tư Phát triểnCông nghệ AT,Công ty Cổ phần Đầu tư Phát triểnCông nghệ AT,33.496.958.361,4.775.934.610,33496958361.0,4775934610.0
Công ty Cổ phần Xây Dụmg công trìnhHàng không Sáu Bốn Bảy,Công ty Cổ phần Xây Dụmg công trìnhHàng không Sáu Bốn Bảy,Công ty Cổ phần Xây Dụmg công trìnhHàng không Sáu Bốn Bảy,28.512.509.186,19.283.485.870,28512509186.0,19283485870.0
Công ty Cổ Phần Avintech,Công ty Cổ Phần Avintech,Công ty Cổ Phần Avintech,21.287.632.721,-,21287632721.0,
Công ty Cổ phần Đầu tư Thương mại vàXây dựng Công trình giao thông Hà NộiĐối tượng khác,Công ty Cổ phần Đầu tư Thương mại vàXây dựng Công trình giao thông Hà NộiĐối tượng khác,Công ty Cổ phần Đầu tư Thương mại vàXây dựng Công trình giao thông Hà NộiĐối tượng khác,20.923.228.528,19.232.620.287,20923228528.0,19232620287.0
,,,255.205.065.225,325.070.087.203,255205065225.0,325070087203.0
,,,1.373.464.764.854,907.474.123.574,1373464764854.0,907474123574.0
