row_label_raw,row_label_full,col_0,Đơn vị tính: VNDLợi thế thương mại từ hợp nhất Công ty TNHH MTV Thương mại Hiệp Quang,numeric__Đơn vị tính: VNDLợi thế thương mại từ hợp nhất Công ty TNHH MTV Thương mại Hiệp Quang
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,11.817.922.747,11817922747.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,11.817.922.747,11817922747.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,10.636.130.498,10636130498.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,1.181.792.249,1181792249.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,11.817.922.747,11817922747.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.181.792.249,1181792249.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
