row_label_raw,row_label_full,Tên,31/12/2024 > Giá gốc,31/12/2024 > Giá trị thuần,31/12/2024 > Tỷ lệ phần vốn (%),31/12/2023 > Giá gốc,31/12/2023 > Giá trị thuần,31/12/2023 > Tỷ lệ phần vốn (%),numeric__31/12/2024 > Giá gốc,numeric__31/12/2024 > Giá trị thuần,numeric__31/12/2024 > Tỷ lệ phần vốn (%),numeric__31/12/2023 > Giá gốc,numeric__31/12/2023 > Giá trị thuần,numeric__31/12/2023 > Tỷ lệ phần vốn (%)
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,53.380,28.944,,53.380,24.196,,53380.0,28944.0,,53380.0,24196.0,
Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,53.380,53.380,,53.380,53.380,,53380.0,53380.0,,53380.0,53380.0,
Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,18.380,18.380,"10,98%",18.380,18.380,"10,98%",18380.0,18380.0,0.10980000000000001,18380.0,18380.0,0.10980000000000001
Công ty CP Thanh toán Quốc gia Việt Nam,Công ty CP Thanh toán Quốc gia Việt Nam,Công ty CP Thanh toán Quốc gia Việt Nam,2.000,2.000,"0,64%",2.000,2.000,"0,64%",2000.0,2000.0,0.0064,2000.0,2000.0,0.0064
Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,33.000,33.000,"9,43%",33.000,33.000,"11,00%",33000.0,33000.0,0.0943,33000.0,33000.0,0.11
Dự phòng giảm giá đầu tư chứng khoán dài hạn,Dự phòng giảm giá đầu tư chứng khoán dài hạn,Dự phòng giảm giá đầu tư chứng khoán dài hạn,-,(24.436),,-,(29.184),,,-24436.0,,,-29184.0,
Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,-,(24.436),,-,(29.184),,,-24436.0,,,-29184.0,
Tổng cộng,Tổng cộng,Tổng cộng,53.380,28.944,,53.380,24.196,,53380.0,28944.0,,53380.0,24196.0,
