row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Lợi nhuận chưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dư vốn cổ phầnTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệTriệu VND,numeric__Lợi nhuận chưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,12.087.442,-,263.052,156.104,1.306.857,13.813.455,12087442.0,,263052.0,156104.0,1306857.0,13813455.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,2.630.247,2.630.247,,,,,2630247.0,2630247.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,1.595.000,810.623,-,-,-,2.405.623,1595000.0,810623.0,,,,2405623.0
Phát hành cổ phiếu để trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 24),1.102.442,-,-,-,(1.102.442),-,1102442.0,,,,-1102442.0,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,,263.025,131.511,(394.536),-,,,263025.0,131511.0,-394536.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(18.419),(18.419),,,,,-18419.0,-18419.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(714),(714),,,,,-714.0,-714.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,14.784.884,810.623,526.077,287.615,2.420.993,18.830.192,14784884.0,810623.0,526077.0,287615.0,2420993.0,18830192.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,14.784.884,810.623,526.077,287.615,2.420.993,18.830.192,14784884.0,810623.0,526077.0,287615.0,2420993.0,18830192.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,,,3.894.486,3.894.486,,,,,3894486.0,3894486.0
Tăng vốn từ phát hành cổ phiếu cho cổ đông hiện hữu,Tăng vốn từ phát hành cổ phiếu cho cổ đông hiện hữu,Tăng vốn từ phát hành cổ phiếu cho cổ đông hiện hữu,1.813.116,906.557,-,-,-,2.719.673,1813116.0,906557.0,,,,2719673.0
Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,809.996,(809.996),-,-,-,-,809996.0,-809996.0,,,,
Tăng vốn từ quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ quỹ dự trữ bổ sung vốn điều lệ,286.999,-,-,(286.999),-,-,286999.0,,,-286999.0,,
Phát hành cổ phiếu để trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 24),2.113.988,-,-,-,(2.113.988),-,2113988.0,,,,-2113988.0,
Phát hành theo chương trình lựa chọn cho người lao động,Phát hành theo chương trình lựa chọn cho người lao động,Phát hành theo chương trình lựa chọn cho người lao động,594.000,297.000,-,-,-,891.000,594000.0,297000.0,,,,891000.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,389.450,194.724,(584.174),-,,,389450.0,194724.0,-584174.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(92.000),(92.000),,,,,-92000.0,-92000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(2.644),(2.644),,,,,-2644.0,-2644.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,20.402.983,1.204.184,915.527,195.340,3.522.673,26.240.707,20402983.0,1204184.0,915527.0,195340.0,3522673.0,26240707.0
