row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,193.431.147,536.096,193.967.243,193431147.0,536096.0,193967243.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,22.055.206,536.096,22.591.302,22055206.0,536096.0,22591302.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,141.438.441,-,141.438.441,141438441.0,,141438441.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),5.764.558,-,5.764.558,5764558.0,,5764558.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,24.087.622,-,24.087.622,24087622.0,,24087622.0
"Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",85.320,-,85.320,85320.0,,85320.0
Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,187.011.214,1.964.738,188.975.952,187011214.0,1964738.0,188975952.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,23.121.736,899.938,24.021.674,23121736.0,899938.0,24021674.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,145.428.945,-,145.428.945,145428945.0,,145428945.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",1.665,1.064.800,1.066.465,1665.0,1064800.0,1066465.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,18.458.868,-,18.458.868,18458868.0,,18458868.0
Cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,Cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,Cam kết ngoại bảng tạingày 31 tháng 12 năm 2023,30.656.931,-,30.656.931,30656931.0,,30656931.0
