row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",195.794,1.207.300,53.787,493.974,1.950.855,195794.0,1207300.0,53787.0,493974.0,1950855.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,6.275,1.881.381,-,309.142,2.196.798,6275.0,1881381.0,,309142.0,2196798.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,91.351,7.315.174,-,1.386.452,8.792.977,91351.0,7315174.0,,1386452.0,8792977.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,12.920.349,14.459,1.698.140,14.632.948,,12920349.0,14459.0,1698140.0,14632948.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,605,-,10.838,11.443,,605.0,,10838.0,11443.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,39.139,-,107.301,146.440,,39139.0,,107301.0,146440.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.405,1.306.596,-,39.590,1.347.591,1405.0,1306596.0,,39590.0,1347591.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,294.825,24.670.544,68.246,4.045.437,29.079.052,294825.0,24670544.0,68246.0,4045437.0,29079052.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,8,5.811.675,-,250,5.811.933,8.0,5811675.0,,250.0,5811933.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,161.324,12.454.110,-,1.560.714,14.176.148,161324.0,12454110.0,,1560714.0,14176148.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,71.478,957.479,-,811.158,1.840.115,71478.0,957479.0,,811158.0,1840115.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,323.147,323.147,,,,323147.0,323147.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5,-,-,5,,5.0,,,5.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,28.712,538.600,-,118.663,685.975,28712.0,538600.0,,118663.0,685975.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,261.522,19.761.869,-,2.813.932,22.837.323,261522.0,19761869.0,,2813932.0,22837323.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,33.303,4.908.675,68.246,1.231.505,6.241.729,33303.0,4908675.0,68246.0,1231505.0,6241729.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,(32.508),(493.386),-,(127.861),(653.755),-32508.0,-493386.0,,-127861.0,-653755.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",795,4.415.289,68.246,1.103.644,5.587.974,795.0,4415289.0,68246.0,1103644.0,5587974.0
