row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đấtcó thời hạn,Phần mềm máyvi tính,TSCĐ vô hìnhkhác,Tổng cộng,numeric__Quyền sử dụng đấtcó thời hạn,numeric__Phần mềm máyvi tính,numeric__TSCĐ vô hìnhkhác,numeric__Tổng cộng
Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Nguyễn giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,381.138,57.859,54.682,493.679,381138.0,57859.0,54682.0,493679.0
- Tăng trong năm,Nguyễn giá TSCĐ vô hình > - Tăng trong năm,- Tăng trong năm,-,1.545,-,1.545,,1545.0,,1545.0
Số dư cuối năm,Nguyễn giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,381.138,59.404,54.682,495.224,381138.0,59404.0,54682.0,495224.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,207,26.412,16.001,42.620,207.0,26412.0,16001.0,42620.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,24,6.703,7.877,14.604,24.0,6703.0,7877.0,14604.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,231,33.115,23.878,57.224,231.0,33115.0,23878.0,57224.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,380.931,31.447,38.681,451.059,380931.0,31447.0,38681.0,451059.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,380.907,26.289,30.804,438.000,380907.0,26289.0,30804.0,438000.0
