row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư cổ phần triệu đồng,Cổ phiếu quỹ triệu đồng,Vốn khác triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ khác triệu đồng,Lợi nhuận Lợi ích cổ đông chưa phân phối triệu đồng,không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư cổ phần triệu đồng,numeric__Cổ phiếu quỹ triệu đồng,numeric__Vốn khác triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận Lợi ích cổ đông chưa phân phối triệu đồng,numeric__không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,37.783.218,869.327,-,665.811,4.498.702,2.354.950,487.678,12.915.149,2.911.188,62.486.023,37783218.0,869327.0,,665811.0,4498702.0,2354950.0,487678.0,12915149.0,2911188.0,62486023.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,17.482.735,672.450,18.155.185,,,,,,,,17482735.0,672450.0,18155185.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,-,1.179.425,747.165,408.141,(2.334.731),-,-,,,,,1179425.0,747165.0,408141.0,-2334731.0,,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,-,-,-,-,-,(864.533),(26.186),(890.719),,,,,,,,-864533.0,-26186.0,-890719.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,7.556.643,-,-,150.000,-,-,-,(7.578.622),110.752,238.773,7556643.0,,,150000.0,,,,-7578622.0,110752.0,238773.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(150.000),(235.442),-,(144),(385.586),,,,,,-150000.0,-235442.0,,-144.0,-385586.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,-,-,-,-,-,(3.587),(3.587),,,,,,,,,-3587.0,-3587.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,-,-,-,571.710,-,-,-,(571.710),-,-,,,,571710.0,,,,-571710.0,,
Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,-,-,-,-,212,212,5,185,(614),-,,,,,212.0,212.0,5.0,185.0,-614.0,
Điều chỉnh theo KTNN,Điều chỉnh theo KTNN,Điều chỉnh theo KTNN,-,-,-,-,-,-,-,55.769,2.169,57.938,,,,,,,,55769.0,2169.0,57938.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,-,(2.430),(40.475),(1.903),(44.808),,,,,,,-2430.0,-40475.0,-1903.0,-44808.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,45.339.861,869.327,-,1.387.521,5.678.339,2.952.327,657.952,19.063.767,3.664.125,79.613.219,45339861.0,869327.0,,1387521.0,5678339.0,2952327.0,657952.0,19063767.0,3664125.0,79613219.0
