row_label_raw,row_label_full,col_0,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Quantity of Authorized issuing shares,Quantity of Authorized issuing shares,Quantity of Authorized issuing shares,"367,985,968","347,160,713",,
Quantity of issued and fully paid shares,Quantity of issued and fully paid shares,Quantity of issued and fully paid shares,"367,985,968","347,160,713",,
- Common shares,- Common shares,- Common shares,"367,985,968","347,160,713",,
Quantity of outstanding shares in circulation,Quantity of outstanding shares in circulation,Quantity of outstanding shares in circulation,"367,985,968","347,160,713",,
- Common shares,- Common shares,- Common shares,"367,985,968","347,160,713",,
Par value of outstanding shares (VND):,- Common shares > Par value of outstanding shares (VND):,Par value of outstanding shares (VND):,"10,000","10,000",10.0,10.0
e) Company's reserves,e) Company's reserves,e) Company's reserves,e) Company's reserves,e) Company's reserves,,
,,,31/12/2024,01/01/2024,,
,,,VND,VND,,
- Development and investment Fund,- Development and investment Fund,- Development and investment Fund,"19,572,915,034","19,572,915,034",,
,,,"19,572,915,034","19,572,915,034",,
