row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,220.292,55.016,50.167,325.475,220292.0,55016.0,50167.0,325475.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,4.370.925,1.422,-,4.372.347,4370925.0,1422.0,,4372347.0
Tiền gửi và cho vay các TCTDkhác - gộp,Tài sản > Tiền gửi và cho vay các TCTDkhác - gộp,Tiền gửi và cho vay các TCTDkhác - gộp,348.839,50.197,105.943,504.979,348839.0,50197.0,105943.0,504979.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,14.472.753,341.190,263.614,15.077.557,14472753.0,341190.0,263614.0,15077557.0
Cho vay khách hàng và hoạt độngmua nợ - gộp,Tài sản > Cho vay khách hàng và hoạt độngmua nợ - gộp,Cho vay khách hàng và hoạt độngmua nợ - gộp,3.326.034,-,-,3.326.034,3326034.0,,,3326034.0
"Gớp vốn, đầu tư dài hạn","Tài sản > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",601,-,-,601,601.0,,,601.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,569.669,5.546,125,575.340,569669.0,5546.0,125.0,575340.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,23.309.113,453.371,419.849,24.182.333,23309113.0,453371.0,419849.0,24182333.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,16.828.862,4.072,-,16.832.934,16828862.0,4072.0,,16832934.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,6.661.240,444.652,407.279,7.513.171,6661240.0,444652.0,407279.0,7513171.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,62.219,426,2.182,64.827,62219.0,426.0,2182.0,64827.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,23.552.321,449.150,409.461,24.410.932,23552321.0,449150.0,409461.0,24410932.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(243.208),4.221,10.388,(228.599),-243208.0,4221.0,10388.0,-228599.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(79.835),(10),(3.838),(83.683),-79835.0,-10.0,-3838.0,-83683.0
"Trạng thái tiền tệ nội,ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội,ngoại bảng","Trạng thái tiền tệ nội,ngoại bảng",(323.043),4.211,6.550,(312.282),-323043.0,4211.0,6550.0,-312282.0
