row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2020Triệu VND,31/12/2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
II,B > II,II,Tiền gửi và vay các TCTD khác,18,42.487.522,27.225.110,,18.0,42487522.0,27225110.0
1,B > 1,1,Tiền gửi của các TCTD khác,,26.886.323,14.178.878,,,26886323.0,14178878.0
2,B > 2,2,Vay các TCTD khác,,15.601.199,13.046.232,,,15601199.0,13046232.0
III,B > III,III,Tiền gửi của khách hàng,19,150.349.095,122.357.044,,19.0,150349095.0,122357044.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,-,2.426,,7.0,,2426.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,10.088,10.702,,20.0,10088.0,10702.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,28.558.863,17.154.847,,21.0,28558863.0,17154847.0
VII,B > VII,VII,Các khoản nợ khác,22,5.296.295,4.351.712,,22.0,5296295.0,4351712.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.825.629,2.517.090,,,2825629.0,2517090.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,2.470.666,1.834.622,,,2470666.0,1834622.0
,,,TỔNG NỘ PHẢI TRẢ,,226.701.863,171.101.841,,,226701863.0,171101841.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,23,17.973.814,13.429.644,,23.0,17973814.0,13429644.0
1,B > 1,1,Vốn,,11.095.229,9.246.246,,,11095229.0,9246246.0
a,B > a,a,Vốn điều lệ,,11.093.879,9.244.914,,,11093879.0,9244914.0
c,B > c,c,Thặng dư vốn cổ phần,,1.350,1.332,,,1350.0,1332.0
2,B > 2,2,Các quỹ của TCTD,,1.252.899,2.593.032,,,1252899.0,2593032.0
5,B > 5,5,Lợi nhuận chưa phân phối,,5.625.686,1.590.366,,,5625686.0,1590366.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,17.973.814,13.429.644,,,17973814.0,13429644.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,244.675.677,184.531.485,,,244675677.0,184531485.0
