row_label_raw,row_label_full,col_0,31/12/2015,14/01/2015,numeric__31/12/2015,numeric__14/01/2015
,,,VND,VND,,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,
Phải trả Ban Quản lý Dự án Khí - Diện - Đạm Cà Mau,Phải trả ngắn hạn khác > Phải trả Ban Quản lý Dự án Khí - Diện - Đạm Cà Mau,Phải trả Ban Quản lý Dự án Khí - Diện - Đạm Cà Mau,75.571.633.412,76.525.201.368,75571633412.0,76525201368.0
- Thuế giá trị gia tàng dầu vào mua khí trong giai đoạn trước khi chính thức vận hành thương mại,Phải trả ngắn hạn khác > - Thuế giá trị gia tàng dầu vào mua khí trong giai đoạn trước khi chính thức vận hành thương mại,- Thuế giá trị gia tàng dầu vào mua khí trong giai đoạn trước khi chính thức vận hành thương mại,69.617.285.554,69.617.285.554,69617285554.0,69617285554.0
- Các khoản phải trả khác,Phải trả ngắn hạn khác > - Các khoản phải trả khác,- Các khoản phải trả khác,5.954.347.858,6.907.915.814,5954347858.0,6907915814.0
Phải trả Tập đoàn Dầu khí Việt Nam,Phải trả ngắn hạn khác > Phải trả Tập đoàn Dầu khí Việt Nam,Phải trả Tập đoàn Dầu khí Việt Nam,119.494.557.567,2.050.804.796.892,119494557567.0,2050804796892.0
"- Nhận bản giao Dự án hoàn thành ""Nhà máy Sản xuất Phân đạm Cà Mau"" (i)","Phải trả ngắn hạn khác > - Nhận bản giao Dự án hoàn thành ""Nhà máy Sản xuất Phân đạm Cà Mau"" (i)","- Nhận bản giao Dự án hoàn thành ""Nhà máy Sản xuất Phân đạm Cà Mau"" (i)",78.515.027.920,78.515.027.920,78515027920.0,78515027920.0
- Lợi nhuận phải nộp (ii),Phải trả ngắn hạn khác > - Lợi nhuận phải nộp (ii),- Lợi nhuận phải nộp (ii),40.732.029.647,390.233.293.375,40732029647.0,390233293375.0
- Phải trả về cố phần hóa,Phải trả ngắn hạn khác > - Phải trả về cố phần hóa,- Phải trả về cố phần hóa,247.500.000,1.582.056.475.597,247500000.0,1582056475597.0
Quỹ thường an toàn (iii),Phải trả ngắn hạn khác > Quỹ thường an toàn (iii),Quỹ thường an toàn (iii),559.651.591,130.337.824,559651591.0,130337824.0
Kinh phí công đoàn,Phải trả ngắn hạn khác > Kinh phí công đoàn,Kinh phí công đoàn,1.867.411.036,1.848.455.959,1867411036.0,1848455959.0
"Nhận ký quỹ, ký cược ngắn hạn","Phải trả ngắn hạn khác > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",413.527.500,311.000.000,413527500.0,311000000.0
Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,Phải trả ngắn hạn khác > Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,1.176.849.040,1.176.849.040,1176849040.0,1176849040.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,6.893.442.537,1.265.808.355,6893442537.0,1265808355.0
,,,205.977.072.683,2.132.062.449.438,205977072683.0,2132062449438.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,,
Phải trả Ngân sách Nhà nước do nhận bản giao quyền sử dụng đất (iv),Phải trả dài hạn khác > Phải trả Ngân sách Nhà nước do nhận bản giao quyền sử dụng đất (iv),Phải trả Ngân sách Nhà nước do nhận bản giao quyền sử dụng đất (iv),33.175.238.300,33.175.238.300,33175238300.0,33175238300.0
,,,33.175.238.300,33.175.238.300,33175238300.0,33175238300.0
Phải trả khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),Phải trả dài hạn khác > Phải trả khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),Phải trả khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),195.066.190.979,2.127.329.998.260,195066190979.0,2127329998260.0
