row_label_raw,row_label_full,col_0,Số ngày quá hạn,Giá gốc,Dự phòng,Giá trị có thể thu hồi,Số ngày quá hạn_1,Giá gốc_1,Dự phòng_1,Giá trị có thể thu hồi_1,numeric__Số ngày quá hạn,numeric__Giá gốc,numeric__Dự phòng,numeric__Giá trị có thể thu hồi,numeric__Số ngày quá hạn_1,numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Giá trị có thể thu hồi_1
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,,,,,
Công ty Cổ phần Tô Châu,Phải thu khác > Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Trên 5 năm,88.280.243.917,(88.280.243.917),-,Trên 5 năm,82.861.677.894,(82.861.677.894),-,,88280243917.0,-88280243917.0,,,82861677894.0,-82861677894.0,
Công ty Cổ phần Lương thực Hậu Giang,Phải thu khác > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Trên 5 năm,28.000.000.000,(28.000.000.000),-,Trên 5 năm,28.000.000.000,(28.000.000.000),-,,28000000000.0,-28000000000.0,,,28000000000.0,-28000000000.0,
Công ty Cổ phần Lương thực Quảng Ngãi,Phải thu khác > Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Trên 5 năm,3.586.838.953,(3.586.838.953),-,Trên 5 năm,3.586.838.953,(3.586.838.953),-,,3586838953.0,-3586838953.0,,,3586838953.0,-3586838953.0,
Doanh nghiệp tư nhân Chữ Tín,Phải thu khác > Doanh nghiệp tư nhân Chữ Tín,Doanh nghiệp tư nhân Chữ Tín,Trên 5 năm,5.297.314.070,(5.297.314.070),-,Trên 5 năm,5.297.314.070,(5.297.314.070),-,,5297314070.0,-5297314070.0,,,5297314070.0,-5297314070.0,
Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài,Phải thu khác > Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài,Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài,Trên 5 năm,9.017.732.212,(9.017.732.212),-,Trên 5 năm,9.017.732.212,(9.017.732.212),-,,9017732212.0,-9017732212.0,,,9017732212.0,-9017732212.0,
Các khách hàng khác,Phải thu khác > Các khách hàng khác,Các khách hàng khác,Trên 5 năm,11.995.614.135,(11.995.614.135),-,Trên 5 năm,11.995.614.135,(11.995.614.135),-,,11995614135.0,-11995614135.0,,,11995614135.0,-11995614135.0,
Các khách hàng khác,Phải thu khác > Các khách hàng khác,Các khách hàng khác,Trên 5 năm,146.177.743.287,(146.177.743.287),-,Trên 5 năm,140.759.177.264,(140.759.177.264),-,,146177743287.0,-146177743287.0,,,140759177264.0,-140759177264.0,
Tài sản thiếu chờ xử lý,Phải thu khác > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,,661.975.531.134,(661.975.531.134),-,Trên 5 năm,661.975.531.134,(661.975.531.134),-,,661975531134.0,-661975531134.0,,,661975531134.0,-661975531134.0,
Tổng,Phải thu khác > Tổng,Tổng,,1.341.847.411.982,(1.341.847.411.982),-,Trên 5 năm,1.335.741.682.877,(1.335.741.682.877),-,,1341847411982.0,-1341847411982.0,,,1335741682877.0,-1335741682877.0,
