row_label_raw,row_label_full,col_0,Tỷ lệ > Vốnnăm giữ,Tỷ lệ > Quyềnbiểu quyết,31/12/2022 (VND) > Giá gốc,31/12/2022 (VND) > Giá trịhợp lý,31/12/2022 (VND) > Dự phòng,01/01/2022 (VND) > Giá gốc,01/01/2022 (VND) > Giá trịhợp lý,01/01/2022 (VND) > Dự phòng,numeric__Tỷ lệ > Vốnnăm giữ,numeric__Tỷ lệ > Quyềnbiểu quyết,numeric__31/12/2022 (VND) > Giá gốc,numeric__31/12/2022 (VND) > Giá trịhợp lý,numeric__31/12/2022 (VND) > Dự phòng,numeric__01/01/2022 (VND) > Giá gốc,numeric__01/01/2022 (VND) > Giá trịhợp lý,numeric__01/01/2022 (VND) > Dự phòng
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,,948.495.140.276,,(317.592.594.368),948.495.140.276,,(314.696.092.359),,,948495140276.0,,-317592594368.0,948495140276.0,,-314696092359.0
Công ty Cổ phần Sài Gòn Lương Thực,Công ty Cổ phần Sài Gòn Lương Thực,Công ty Cổ phần Sài Gòn Lương Thực,51%,51%,33.029.591.929,,(33.029.591.929),33.029.591.929,,(33.029.591.929),0.51,0.51,33029591929.0,,-33029591929.0,33029591929.0,,-33029591929.0
Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,"66,27%","66,27%",47.786.267.013,,(28.455.277.802),47.786.267.013,,(24.931.671.051),0.6627,0.6627,47786267013.0,,-28455277802.0,47786267013.0,,-24931671051.0
Công ty Cổ phần Lương thựcThực phẩm Safoco (**),Công ty Cổ phần Lương thựcThực phẩm Safoco (**),Công ty Cổ phần Lương thựcThực phẩm Safoco (**),"51,30%","51,30%",208.306.301.000,,-,208.306.301.000,,-,0.513,0.513,208306301000.0,,,208306301000.0,,
Công ty Cổ phần Bao bl Tiền Giang,Công ty Cổ phần Bao bl Tiền Giang,Công ty Cổ phần Bao bl Tiền Giang,"60,00%","60,00%",2.142.000.000,,-,2.142.000.000,,(563.509.083),0.6,0.6,2142000000.0,,,2142000000.0,,-563509083.0
Công ty Cổ phần Xuất nhập khẩu Nông sản Thựcphám Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thựcphám Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thựcphám Cà Mau,"62,05%","62,05%",40.956.000.000,,(40.956.000.000),40.956.000.000,,(40.956.000.000),0.6204999999999999,0.6204999999999999,40956000000.0,,-40956000000.0,40956000000.0,,-40956000000.0
Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,"65,40%","65,40%",65.400.000.000,,(65.400.000.000),65.400.000.000,,(65.400.000.000),0.654,0.654,65400000000.0,,-65400000000.0,65400000000.0,,-65400000000.0
Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,"51,00%","51,00%",69.345.300.334,,-,69.345.300.334,,-,0.51,0.51,69345300334.0,,,69345300334.0,,
Công ty Cổ phần Lương thực Hậu Giang (***),Công ty Cổ phần Lương thực Hậu Giang (***),Công ty Cổ phần Lương thực Hậu Giang (***),"53,28%","53,28%",28.771.200.000,,(28.771.200.000),28.771.200.000,,(28.771.200.000),0.5328,0.5328,28771200000.0,,-28771200000.0,28771200000.0,,-28771200000.0
Công ty Cổ phần Xây lắp Cơ khí và Lương thựcThực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thựcThực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thựcThực phẩm,"60,00%","60,00%",83.301.480.000,,-,83.301.480.000,,-,0.6,0.6,83301480000.0,,,83301480000.0,,
Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,"51,00%","51,00%",5.100.000.000,,(5.100.000.000),5.100.000.000,,(5.100.000.000),0.51,0.51,5100000000.0,,-5100000000.0,5100000000.0,,-5100000000.0
Công ty CP Lương thực Thành phố Hồ Chí Minh,Công ty CP Lương thực Thành phố Hồ Chí Minh,Công ty CP Lương thực Thành phố Hồ Chí Minh,"59,78%","59,78%",152.509.000.000,,(115.880.524.637),152.509.000.000,,(115.944.120.296),0.5978,0.5978,152509000000.0,,-115880524637.0,152509000000.0,,-115944120296.0
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,"83,31%","83,31%",211.848.000.000,,-,211.848.000.000,,-,0.8331000000000001,0.8331000000000001,211848000000.0,,,211848000000.0,,
