row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngày quá hạn,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 30/9/2020 > Giá gốc VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 30/9/2020 > Dự phòng VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 30/9/2020 > Giá trị có thể thu hồi VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngày quá hạn_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/10/2019 > Giá gốc VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/10/2019 > Dự phòng VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngày quá hạn,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 30/9/2020 > Giá gốc VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 30/9/2020 > Dự phòng VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 30/9/2020 > Giá trị có thể thu hồi VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Số ngày quá hạn_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/10/2019 > Giá gốc VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/10/2019 > Dự phòng VND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,
Công ty Cổ Phần Tư Văn Thương Mại Xây dựng Mê Kông,Nợ quá hạn > Công ty Cổ Phần Tư Văn Thương Mại Xây dựng Mê Kông,Công ty Cổ Phần Tư Văn Thương Mại Xây dựng Mê Kông,2 – 3 năm,1.648.743.436,(1.648.743.436),-,1 – 2 năm,1.648.743.436,(1.648.743.436),,1648743436.0,-1648743436.0,,,1648743436.0,-1648743436.0
Công ty TNHH Hải Thuỷ,Nợ quá hạn > Công ty TNHH Hải Thuỷ,Công ty TNHH Hải Thuỷ,Trên1 năm,1.545.000.625,(1.545.000.625),-,Trên6 tháng,1.545.000.625,(1.545.000.625),,1545000625.0,-1545000625.0,,,1545000625.0,-1545000625.0
Công ty TNHH Thép Xây dựng Hiệp Loan,Nợ quá hạn > Công ty TNHH Thép Xây dựng Hiệp Loan,Công ty TNHH Thép Xây dựng Hiệp Loan,Trên1 năm,1.243.508.106,(1.243.508.106),-,Trên6 tháng,1.243.508.106,(1.243.508.106),,1243508106.0,-1243508106.0,,,1243508106.0,-1243508106.0
Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức,Nợ quá hạn > Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức,Công ty TNHH Một Thành Viên Sản Xuất Và Thương Mại Phúc Đức,Trên6 tháng,1.096.410.095,(1.096.410.095),-,Trong hạn,1.096.410.095,-,,1096410095.0,-1096410095.0,,,1096410095.0,
Doanh nghiệp tư nhân Hoàng Thái,Nợ quá hạn > Doanh nghiệp tư nhân Hoàng Thái,Doanh nghiệp tư nhân Hoàng Thái,Trên1 năm,1.023.359.294,(1.023.359.294),-,Trên1 năm,1.023.359.294,(1.023.359.294),,1023359294.0,-1023359294.0,,,1023359294.0,-1023359294.0
"Công ty Thương Mại, Dịch Vụ Và Xây dựng Yên Mai (TNHH)","Nợ quá hạn > Công ty Thương Mại, Dịch Vụ Và Xây dựng Yên Mai (TNHH)","Công ty Thương Mại, Dịch Vụ Và Xây dựng Yên Mai (TNHH)",Trên6 tháng,839.518.227,(839.518.227),-,-,5.862.857.951,-,,839518227.0,-839518227.0,,,5862857951.0,
Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,Nợ quá hạn > Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,6 tháng – 1 năm,1.426.131.048,(1.426.131.048),-,Trong hạn,592.356.915,-,,1426131048.0,-1426131048.0,,,592356915.0,
Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,Nợ quá hạn > Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,6 tháng – 1 năm,16.875.016.697,(16.875.016.697),-,,4.831.355.233,(4.831.355.233),,16875016697.0,-16875016697.0,,,4831355233.0,-4831355233.0
Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,Nợ quá hạn > Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,Công ty TNHH Thương Mại & Sản Xuất Toàn Phát HNCác khách hàng khác,6 tháng – 1 năm,25.697.687.528,(25.697.687.528),-,,17.843.591.655,(10.291.966.694),,25697687528.0,-25697687528.0,,,17843591655.0,-10291966694.0
